Browsers,Hits,Percent (in %)
Unknown,187161,47.8
MS Internet Explorer,45568,11.6
Firefox,43610,11.1
Apple iTunes (media player),35745,9.1
Curl,29602,7.5
Google Chrome,15446,3.9
Mozilla,10107,2.5
Akregator (RSS Reader),7409,1.8
Safari,4876,1.2
Android browser (PDA/Phone browser),4554,1.1
Others,6811,1.7
