file type,Hits,Bandwidth
xml,237421,46.37 GB
html,21334,767.41 MB
ogg,2537586,62316.79 GB
mp4,47649,227.05 GB
webm,2545,63.01 GB
srt,8991,20.74 MB
mkv,2334,36.44 GB
xspf,2765,387.54 MB
