Domains/Countries,Pages,Hits,Bandwidth
Germany de,47827,76002,61.09 GB	
Network net,28508,61817,38.65 GB	
Unknown ip,7400,14270,4.78 GB	
Non-Profit Organizations org,4414,4472,150.57 MB	
Commercial com,3609,8266,3.69 GB	
Switzerland ch,1794,5155,3.50 GB	
Austria at,1344,4095,3.98 GB	
Portugal pt,454,2008,543.72 MB	
France fr,271,730,439.71 MB	
Italy it,235,647,572.28 MB	
Others,1229,4800,4.14 GB
