Operating Systems,Hits,Percent (in %)
Unknown,67456,37
Linux,67299,36.9
Windows,42978,23.5
Macintosh,4211,2.3
BeOS,106,0
Sun Solaris,92,0
BSD,83,0
OpenBSD,28,0
Symbian OS,5,0
Unknown Unix system,3,0
Others,1,0
