Browsers,Hits,Percent (in %)
Unknown,417185,51.8
Firefox,185544,23
MS Internet Explorer,113774,14.1
Mozilla,33646,4.1
Konqueror,16974,2.1
Opera,16502,2
Apple iTunes (media player),10348,1.2
Netscape,5348,0.6
Safari,3063,0.3
Wget,803,0
Others,805,0.1
