file type,Hits,Bandwidth
xml,239286,19.64 GB
html,6660,232.59 MB
ogg,35938,522.52 GB
mp4,28471,263.38 GB
webm,0,0 GB
srt,2463,6.23 MB
mkv,1090,17.79 GB
xspf,1802,24.83 MB
mpg,7,22.52 MB
