file type,Hits,Bandwidth
xml,49559,9.08 GB
html,81868,647.51 MB
ogg,14624,196.43 GB
mp4,6607,37.07 GB
webm,9618,194.81 GB
srt,8086,18.85 MB
mkv,976,16.00 GB
xspf,74,67.45 KB
