Domains/Countries,Pages,Hits,Bandwidth
Non-Profit Organizations org,152579,152595,51.12 GB
Commercial com,72360,75990,110.73 GB
Germany de,56874,84353,35.94 GB
Unknown ip,33621,37643,155.00 GB
Network net,19671,25801,109.52 GB
Ukraine ua,1717,1725,9.47 GB
Switzerland ch,1703,2916,574.12 MB
Italy it,1544,1763,7.48 GB
Austria at,1132,2104,905.45 MB
European country eu,538,567,919.17 MB
Others,1788,5432,9.13 GB
