Domains/Countries,Pages,Seiten,Zugriffe,Bytes
Unknown,Unknown ip,52301,54810,35.14 GB
com,Commercial com,45059,49815,87.53 GB
de,Germany de,41774,51167,100.61 GB
net,Network net,25575,27382,81.99 GB
eu,European country eu,8410,10237,16.26 GB
ua,Ukraine ua,3364,3369,971.44 MB
ru,Russian Federation,2205,2689,68.29 MB
ch,Switzerland ch,1290,1405,4.61 GB
org,Non-Profit,575,582,308.35 MB
Others,,2271,2896,1.83 GB
