file type,Hits,Bandwidth
xml,227265,68.51 GB
html,153,11.24 MB
ogg,23801,109.26 GB
mp4,50849,204.21 GB
webm,13796,96.18 GB
srt,4872,11.61 MB
mkv,753,9.56 GB
xspf,403,79.01 MB
