file type,Hits,Bandwidth
xml,222509,39.20 GB
html,6109,185.03 MB
ogg,26187,374.32 GB
mp4,75076,299.70 GB
webm,6140,64.41 GB
srt,79586,199.34 MB
mkv,8663,130.31 GB
xspf,16308,222.38 MB
