Domains/Countries,Pages,Hits,Bandwidth
Germany de,217663,307353,459.14 GB	
Network net,110711,247265,101.91 GB	
Unknown ip,101329,145335,279.64 GB	
Non-Profit Organizations org,40224,40590,8.95 GB	
Commercial com,27524,33576,49.64 GB	
Info domains info,3940,3941,2.06 GB	
Austria at,2887,12944,1.67 GB	
Switzerland ch,2327,8643,2.72 GB	
Ukraine ua,1646,1822,792.07 MB	
Finland fi,935,1068,612.33 MB	
Others,3559,7785,7.20 GB
