file type,Hits,Bandwidth
xml,0,0 GB
html,319663,9.22 GB
ogg,22260,257.91 GB
mp4,4405,29.25 GB
webm,0,0 GB
srt,2277,5.95 MB
mkv,0,0 GB
xspf,1840,24.57 MB
