Operating Systems,Hits,Percent (in %)
Windows,2872344,78.6
Linux,541855,14.8
Unknown,203354,5.5
Macintosh,29517,0.8
Unknown Unix system,3377,0
Sun Solaris,314,0
BSD,191,0
Symbian OS,25,0
Sony PlayStation,20,0
CP/M,4,0
Others,4,0
