Domains/Countries,Pages,Hits,Bandwidth
Unknown ip,210816,239815,483.72 GB	
Network net,159268,294994,114.90 GB	
Germany de,125712,210533,131.91 GB	
Commercial com,40056,65290,40.65 GB	
Austria at,7571,15866,20.71 GB	
Info domains info,6230,6236,3.65 GB	
Switzerland ch,5965,10332,5.60 GB	
Unknown local,3435,3436,154.96 MB	
Romania ro,2975,2975,1021.90 MB	
Non-Profit Organizations org,2697,3082,567.85 MB	
Others,23332,29213,12.48 GB
