Operating Systems,Hits,Percent (in %)
Unknown,362776,61.5
Windows,130030,22
Linux,71565,12.1
Macintosh,22050,3.7
Unknown Unix system,2530,0.4
Java,113,0
BSD,21,0
Sun Solaris,16,0
BlackBerry,8,0
Symbian OS,7,0
Others,2,0
