file type,Hits,Bandwidth
xml,21042,1.62 GB
html,365267,10.28 GB
ogg,13872,172.97 GB
mp4,6765,42.05 GB
webm,0,0 GB
srt,1587,4.17 MB
mkv,119,2.05 GB
xspf,626,8.74 MB
