file type,Hits,Bandwidth
xml,64518,19.18 GB
html,27104,343.74 MB
ogg,15041,49.86 GB
mp4,11799,20.62 GB
webm,8285,26.50 GB
srt,1449,3.50 MB
mkv,315,4.07 GB
xspf,26,4.85 MB
