Operating Systems,Hits,Percent (in %)
Unknown,135314,77.0
Windows,25469,14.5
Linux,8619,4.9
Macintosh,6071,3.4
Java,4,0
BlackBerry,19,0
Unknown Unix system,3,0
BSD,13,0
HP UX,1,0
