file type,Hits,Bandwidth
xml,0,0 GB
html,35239,931.47 MB
ogg,5252,117.97 GB
mp4,0,0 GB
webm,0,0 GB
srt,820,2.74 MB
mkv,0,0 GB
xspf,0,0 MB
