file type,Hits,Bandwidth
xml,223949,21.15 GB
html,7337,198.36 MB
ogg,22568,338.28 GB
mp4,40530,424.17 GB
webm,243,5.11 GB
srt,2752,6.62 MB
mkv,1449,18.90 GB
xspf,1325,34.74 MB
