Browsers,Hits,Percent (in %)
Unknown,54286,46.7
Firefox,15075,12.9
Mozilla,13939,12.0
Google Chrome,12860,11.0
Apple iTunes (media player),2090,1.8
MS Internet Explorer,9618,8.2
Akregator (RSS Reader),2882,2.4
Safari,2409,2.0
Netscape,1206,1.0
Others,617,0.5
Opera,1104,0.9
