Operating Systems,Hits,Percent (in %)
Unknown,240141,61.4
Windows,84804,21.6
Linux,40639,10.3
Macintosh,25115,6.4
Java,93,0
BSD,46,0
Unknown Unix system,24,0
BlackBerry,10,0
Java Mobile,10,0
iPhone OS (iPhone/iPod),4,0
Others,3,0
