Browsers,Hits,Percent (in %)
Firefox,3032664,83
Unknown,219209,6
MS Internet Explorer,152221,4.1
Safari,99266,2.7
Opera,43046,1.1
Curl,39696,1
Mozilla,17844,0.4
Akregator (RSS Reader),14381,0.3
Apple iTunes (media player),8059,0.2
Liferea (RSS Reader),6655,0.1
Others,17964,0.4
