Operating Systems,Hits,Percent (in %)
Windows,375668,46.3
Linux,241703,29.8
Unknown,156295,19.2
Macintosh,28420,3.5
Unknown Unix system,7955,0.9
BSD,157,0
Symbian OS,68,0
Sun Solaris,33,0
iPhone OS (iPhone/iPod),10,0
BlackBerry,5,0
Others,8,0
