Operating Systems,Hits,Percent (in %)
Windows,479078,54.3
Linux,251892,28.5
Unknown,136303,15.4
Macintosh,10883,1.2
Unknown Unix system,1251,0.1
Symbian OS,993,0.1
Sun Solaris,902,0.1
BSD,419,0
Commodore,64,37,0
Nintendo Wii,5,0
Others,9,0
