Browsers,Hits,Percent (in %)
Unknown,285376,48.4
MS Internet Explorer,92964,15.7
Firefox,62220,10.5
Apple iTunes (media player),41485,7
Curl,40598,6.8
Google Chrome,23593,4
Akregator (RSS Reader),14140,2.4
Mozilla,10730,1.8
Opera,6195,1
Safari,3267,0.5
Others,8550,1.4
