Browsers,Hits,Percent (in %)
Unknown,65358,43
Firefox,22916,15.1
Google Chrome,18264,12
Mozilla,15206,10
Apple iTunes (media player),8863,5.8
MS Internet Explorer,7116,4.6
Akregator (RSS Reader),3951,2.6
Safari,3664,2.4
Android browser (PDA/Phone browser),2955,1.9
Netscape,1442,0.9
Others,1919,1.2
