file type,Hits,Bandwidth
xml,45403,19.59 GB
html,109701,924.20 MB
ogg,6134,128.06 GB
mp4,2558,30.75 GB
webm,4992,134.80 GB
srt,8656,20.02 MB
mkv,943,16.89 GB
xspf,385,27.50 MB
