Domains/Countries,Pages,Hits,Bandwidth
Germany de,149317,367708,85.32 GB	
Network net,141332,323998,65.53 GB	
Unknown ip,75657,111064,59.94 GB	
Commercial com,17430,22805,9.04 GB	
Switzerland ch,13958,36516,5.11 GB	
Austria at,13103,34946,3.98 GB	
Non-Profit Organizations org,2033,2389,201.62 MB	
Norway no,1910,2631,113.70 MB	
Brazil br,1603,2735,219.11 MB	
Netherlands nl,800,1437,921.42 MB	
Others,5738,16257,3.81 GB
