Operating Systems,Hits,Percent (in %)
Unknown,631589,68.4
Linux,174185,18.8
Windows,102417,11.1
Macintosh,10334,1.1
FreeBSD,3007,0.3
Unknown Unix system,691,0
Sun Solaris,186,0
Symbian OS,55,0
GNU Hurd,17,0
AmigaOS,2,0
Others,3,0
