Domains/Countries,Pages,Hits,Bandwidth
Non-Profit Organizations,210196,210243,58.97 GB	
Commercial com,101014,102587,81.94 GB	
Unknown ip,94037,100688,421.17 GB	
Germany de,67489,102919,40.82 GB	
Network net,39277,58579,79.21 GB	
Austria at,1833,4703,2.92 GB	
Switzerland ch,1092,2285,912.42 MB	
China cn,998,1021,87.61 MB	
Bulgaria bg,975,975,31.00 MB	
Finland fi,845,927,704.76 MB	
Others,1048,4191,2.03 GB
