Operating Systems,Hits,Percent (in %)
Unknown,127525,74.7
Windows,25253,14.8
Linux,13017,7.6
Macintosh,4764,2.7
Java,3,0
Java Mobile,2,0
BlackBerry,12,0
Sony Play Station,8,0
Unknown Unix system,25,0
BSD,8,0
