Browsers,Hits,Percent (in %)
Unknown,435363,38
MS Internet Explorer,346026,30.2
Firefox,246679,21.5
Mozilla,42263,3.6
Opera,24713,2.1
Konqueror,10027,0.8
Netscape,7831,0.6
Curl,6682,0.5
Safari,6110,0.5
Wget,3582,0.3
Others,15481,1.3
