"plays","downloads","loads","finishes","start_date","end_date","likes","comments","mean_percent","mean_seconds","sum_seconds","total_seconds"
657,1,3711,38,2016-01-01,2016-02-01,0,0,20,70,46010,227029
458,10,1730,33,2016-02-01,2016-03-01,0,0,25,84,38866,154845
465,10,1794,5,2016-03-01,2016-04-01,1,0,19,11,5489,27639
422,12,2060,27,2016-04-01,2016-05-01,0,0,25,92,39230,153388
481,6,2333,36,2016-05-01,2016-06-01,0,0,22,79,38117,171554
456,124,1957,19,2016-06-01,2016-07-01,0,0,20,69,31782,151508
427,73,2855,29,2016-07-01,2016-08-01,0,0,29,71,30708,104671
377,8,1464,27,2016-08-01,2016-09-01,0,0,28,73,27848,98503
298,23,1474,14,2016-09-01,2016-10-01,0,0,32,87,26222,81858
324,16,1884,16,2016-10-01,2016-11-01,0,0,32,92,30021,91009
403,3,2105,41,2016-11-01,2016-12-01,0,0,35,98,39817,111933
377,44,3400,26,2016-12-01,2017-01-01,0,0,27,65,24804,91636
"
",,,,,,,,,,,
