total_local_loads,total_embed_loads,sd_local_plays,sd_embed_plays,hd_local_plays,hd_embed_plays,sd_local_finishes,sd_embed_finishes,hd_local_finishes,hd_embed_finishes,comments,downloads,likes,total_loads,total_local_plays,total_embed_plays,total_plays,total_local_finishes,total_embed_finishes,total_finishes,range_start,range_end,date
28,654,9,11,7,0,1,0,1,0,0,0,0,682,16,11,27,2,0,2,2015-07-20,2015-07-26,Woche vom 20.07.2015
3293,368,16,2,23,0,2,0,4,0,0,0,0,3661,39,2,41,6,0,6,2015-07-13,2015-07-19,Woche vom 13.07.2015
1269,738,8,1,7,0,2,0,0,0,0,1,1,2007,15,1,16,2,0,2,2015-07-06,2015-07-12,Woche vom 06.07.2015
2274,704,13,1,6,0,0,0,1,0,0,0,0,2978,19,1,20,1,0,1,2015-06-29,2015-07-05,Woche vom 29.06.2015
0,0,6,0,3,0,0,0,1,0,0,0,0,0,9,0,9,1,0,1,2015-06-22,2015-06-28,Woche vom 22.06.2015
0,0,8,7,2,0,1,0,0,0,0,0,0,0,10,7,17,1,0,1,2015-06-15,2015-06-21,Woche vom 15.06.2015
0,0,10,8,1,0,3,0,0,0,0,0,0,0,11,8,19,3,0,3,2015-06-08,2015-06-14,Woche vom 08.06.2015
0,0,6,8,4,0,0,1,0,0,0,1,0,0,10,8,18,0,1,1,2015-06-01,2015-06-07,Woche vom 01.06.2015
0,0,13,4,3,0,0,1,0,0,0,0,0,0,16,4,20,0,1,1,2015-05-25,2015-05-31,Woche vom 25.05.2015
0,0,6,6,1,0,2,0,0,0,0,0,0,0,7,6,13,2,0,2,2015-05-18,2015-05-24,Woche vom 18.05.2015
0,0,6,3,1,0,1,0,0,0,0,0,0,0,7,3,10,1,0,1,2015-05-11,2015-05-17,Woche vom 11.05.2015
0,0,15,1,2,0,2,0,0,0,0,0,0,0,17,1,18,2,0,2,2015-05-04,2015-05-10,Woche vom 04.05.2015
0,0,13,2,4,0,1,0,0,0,0,0,0,0,17,2,19,1,0,1,2015-04-27,2015-05-03,Woche vom 27.04.2015
0,0,3,3,0,0,1,1,0,0,0,0,0,0,3,3,6,1,1,2,2015-04-20,2015-04-26,Woche vom 20.04.2015
0,0,14,2,1,0,1,0,0,0,0,0,0,0,15,2,17,1,0,1,2015-04-13,2015-04-19,Woche vom 13.04.2015
0,0,12,0,3,0,1,0,0,0,0,0,0,0,15,0,15,1,0,1,2015-04-06,2015-04-12,Woche vom 06.04.2015
0,0,11,1,1,0,1,0,0,0,0,0,0,0,12,1,13,1,0,1,2015-03-30,2015-04-05,Woche vom 30.03.2015
0,0,21,0,0,0,1,0,0,0,0,0,0,0,21,0,21,1,0,1,2015-03-23,2015-03-29,Woche vom 23.03.2015
0,0,10,1,3,0,2,0,0,0,0,1,0,0,13,1,14,2,0,2,2015-03-16,2015-03-22,Woche vom 16.03.2015
0,0,11,0,1,0,2,0,0,0,0,0,0,0,12,0,12,2,0,2,2015-03-09,2015-03-15,Woche vom 09.03.2015
0,0,19,0,0,0,1,0,0,0,0,0,0,0,19,0,19,1,0,1,2015-03-02,2015-03-08,Woche vom 02.03.2015
0,0,8,0,2,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,2015-02-23,2015-03-01,Woche vom 23.02.2015
0,0,16,1,1,0,4,0,0,0,0,0,0,0,17,1,18,4,0,4,2015-02-16,2015-02-22,Woche vom 16.02.2015
0,0,13,1,3,0,3,0,0,0,0,1,0,0,16,1,17,3,0,3,2015-02-09,2015-02-15,Woche vom 09.02.2015
0,0,10,0,3,0,1,0,0,0,0,2,0,0,13,0,13,1,0,1,2015-02-02,2015-02-08,Woche vom 02.02.2015
0,0,18,1,4,0,4,0,0,0,0,26,0,0,22,1,23,4,0,4,2015-01-26,2015-02-01,Woche vom 26.01.2015
0,0,14,1,5,0,1,0,0,0,0,3,0,0,19,1,20,1,0,1,2015-01-19,2015-01-25,Woche vom 19.01.2015
0,0,11,3,1,0,1,0,0,0,0,1,0,0,12,3,15,1,0,1,2015-01-12,2015-01-18,Woche vom 12.01.2015
0,0,7,2,4,0,1,0,1,0,0,0,0,0,11,2,13,2,0,2,2015-01-05,2015-01-11,Woche vom 05.01.2015
0,0,12,1,3,0,3,0,0,0,0,0,0,0,15,1,16,3,0,3,2015-01-01,2015-01-04,Woche vom 29.12.2014
