total_local_loads,total_embed_loads,sd_local_plays,sd_embed_plays,hd_local_plays,hd_embed_plays,sd_local_finishes,sd_embed_finishes,hd_local_finishes,hd_embed_finishes,comments,downloads,likes,total_loads,total_local_plays,total_embed_plays,total_plays,total_local_finishes,total_embed_finishes,total_finishes,range_start,range_end,date
82,149,22,37,0,0,2,2,0,0,0,1,0,231,22,37,59,2,2,4,2015-12-28,2015-12-31,Woche vom 28.12.2015
120,300,35,55,0,0,15,1,0,0,0,0,0,420,35,55,90,15,1,16,2015-12-21,2015-12-27,Woche vom 21.12.2015
84,496,35,128,0,0,5,2,0,0,0,0,0,580,35,128,163,5,2,7,2015-12-14,2015-12-20,Woche vom 14.12.2015
95,354,43,117,0,0,2,0,0,0,0,1,0,449,43,117,160,2,0,2,2015-12-07,2015-12-13,Woche vom 07.12.2015
74,326,37,102,0,0,4,2,0,0,0,1,0,400,37,102,139,4,2,6,2015-11-30,2015-12-06,Woche vom 30.11.2015
86,341,45,76,0,0,8,2,0,0,0,0,1,427,45,76,121,8,2,10,2015-11-23,2015-11-29,Woche vom 23.11.2015
94,659,35,84,1,0,6,2,0,0,0,1,0,753,36,84,120,6,2,8,2015-11-16,2015-11-22,Woche vom 16.11.2015
82,412,22,95,14,0,4,2,4,0,0,1,0,494,36,95,131,8,2,10,2015-11-09,2015-11-15,Woche vom 09.11.2015
55,295,8,74,17,0,1,4,6,0,0,0,0,350,25,74,99,7,4,11,2015-11-02,2015-11-08,Woche vom 02.11.2015
52,376,9,37,21,0,4,2,4,0,0,0,0,428,30,37,67,8,2,10,2015-10-26,2015-11-01,Woche vom 26.10.2015
70,428,10,84,22,0,1,5,7,0,0,0,0,498,32,84,116,8,5,13,2015-10-19,2015-10-25,Woche vom 19.10.2015
58,545,21,59,14,1,3,3,1,0,0,0,0,603,35,60,95,4,3,7,2015-10-12,2015-10-18,Woche vom 12.10.2015
86,544,18,63,22,1,1,1,7,0,0,2,0,630,40,64,104,8,1,9,2015-10-05,2015-10-11,Woche vom 05.10.2015
54,480,11,43,21,1,3,1,1,0,0,0,0,534,32,44,76,4,1,5,2015-09-28,2015-10-04,Woche vom 28.09.2015
98,598,11,60,31,8,0,1,3,0,0,2,0,696,42,68,110,3,1,4,2015-09-21,2015-09-27,Woche vom 21.09.2015
76,732,10,72,18,1,2,3,0,0,0,2,0,808,28,73,101,2,3,5,2015-09-14,2015-09-20,Woche vom 14.09.2015
68,617,14,81,23,0,1,2,4,0,0,1,0,685,37,81,118,5,2,7,2015-09-07,2015-09-13,Woche vom 07.09.2015
76,581,6,84,20,1,1,9,9,0,0,0,0,657,26,85,111,10,9,19,2015-08-31,2015-09-06,Woche vom 31.08.2015
63,763,12,15,7,0,0,2,0,0,0,4,0,826,19,15,34,0,2,2,2015-08-24,2015-08-30,Woche vom 24.08.2015
82,794,15,78,20,0,3,1,2,1,0,0,0,876,35,78,113,5,2,7,2015-08-17,2015-08-23,Woche vom 17.08.2015
56,918,15,45,16,0,4,3,2,0,0,0,0,974,31,45,76,6,3,9,2015-08-10,2015-08-16,Woche vom 10.08.2015
87,792,5,41,29,1,1,5,7,0,0,7,0,879,34,42,76,8,5,13,2015-08-03,2015-08-09,Woche vom 03.08.2015
86,690,11,27,15,0,1,1,1,0,0,8,0,776,26,27,53,2,1,3,2015-07-27,2015-08-02,Woche vom 27.07.2015
