total_local_loads,total_embed_loads,sd_local_plays,sd_embed_plays,hd_local_plays,hd_embed_plays,sd_local_finishes,sd_embed_finishes,hd_local_finishes,hd_embed_finishes,comments,downloads,likes,total_loads,total_local_plays,total_embed_plays,total_plays,total_local_finishes,total_embed_finishes,total_finishes,range_start,range_end,date
0,0,2,0,0,0,1,0,0,0,0,6,0,0,2,0,2,1,0,1,2014-12-29,2014-12-31,Woche vom 29.12.2014
0,0,20,2,3,0,1,0,0,0,0,28,0,0,23,2,25,1,0,1,2014-12-22,2014-12-28,Woche vom 22.12.2014
0,0,10,4,2,0,2,0,1,0,0,15,0,0,12,4,16,3,0,3,2014-12-15,2014-12-21,Woche vom 15.12.2014
0,0,13,0,7,0,1,0,0,0,0,10,0,0,20,0,20,1,0,1,2014-12-08,2014-12-14,Woche vom 08.12.2014
0,0,17,4,3,0,0,0,0,0,0,0,0,0,20,4,24,0,0,0,2014-12-01,2014-12-07,Woche vom 01.12.2014
0,0,17,3,4,0,2,1,0,0,0,0,0,0,21,3,24,2,1,3,2014-11-24,2014-11-30,Woche vom 24.11.2014
0,0,15,1,1,0,1,0,0,0,0,1,0,0,16,1,17,1,0,1,2014-11-17,2014-11-23,Woche vom 17.11.2014
0,0,10,3,0,0,0,0,0,0,0,0,0,0,10,3,13,0,0,0,2014-11-10,2014-11-16,Woche vom 10.11.2014
0,0,14,1,4,0,3,0,1,0,0,0,0,0,18,1,19,4,0,4,2014-11-03,2014-11-09,Woche vom 03.11.2014
0,0,21,2,2,0,2,0,0,0,0,0,0,0,23,2,25,2,0,2,2014-10-27,2014-11-02,Woche vom 27.10.2014
0,0,18,4,4,0,1,1,0,0,0,0,0,0,22,4,26,1,1,2,2014-10-20,2014-10-26,Woche vom 20.10.2014
0,0,14,6,5,0,2,0,0,0,0,0,0,0,19,6,25,2,0,2,2014-10-13,2014-10-19,Woche vom 13.10.2014
0,0,19,4,3,0,3,0,0,0,0,1,0,0,22,4,26,3,0,3,2014-10-06,2014-10-12,Woche vom 06.10.2014
0,0,18,2,2,0,3,0,0,0,0,1,0,0,20,2,22,3,0,3,2014-09-29,2014-10-05,Woche vom 29.09.2014
0,0,16,2,2,0,1,1,0,0,0,4,0,0,18,2,20,1,1,2,2014-09-22,2014-09-28,Woche vom 22.09.2014
47,14,13,2,2,0,1,1,0,0,0,0,0,61,15,2,17,1,1,2,2014-09-15,2014-09-21,Woche vom 15.09.2014
148,17,21,0,9,0,0,0,0,0,0,0,0,165,30,0,30,0,0,0,2014-09-08,2014-09-14,Woche vom 08.09.2014
109,433,14,1,5,0,2,0,0,0,0,0,0,542,19,1,20,2,0,2,2014-09-01,2014-09-07,Woche vom 01.09.2014
105,17,17,2,6,0,2,0,1,0,0,0,0,122,23,2,25,3,0,3,2014-08-25,2014-08-31,Woche vom 25.08.2014
133,22,21,3,2,0,0,0,1,0,0,0,0,155,23,3,26,1,0,1,2014-08-18,2014-08-24,Woche vom 18.08.2014
103,27,6,7,7,0,0,0,0,0,0,0,0,130,13,7,20,0,0,0,2014-08-11,2014-08-17,Woche vom 11.08.2014
94,12,9,8,3,0,1,0,1,0,0,1,0,106,12,8,20,2,0,2,2014-08-04,2014-08-10,Woche vom 04.08.2014
78,21,20,5,3,0,2,0,0,0,0,0,0,99,23,5,28,2,0,2,2014-07-28,2014-08-03,Woche vom 28.07.2014
66,29,17,4,2,0,2,0,0,0,0,1,0,95,19,4,23,2,0,2,2014-07-21,2014-07-27,Woche vom 21.07.2014
185,14,13,1,2,0,0,0,1,0,0,0,0,199,15,1,16,1,0,1,2014-07-14,2014-07-20,Woche vom 14.07.2014
