"plays","downloads","loads","finishes","start_date","end_date","likes","comments","mean_percent","mean_seconds","sum_seconds","total_seconds"
0,0,2,0,2013-12-01T05:00:00+00:00,2014-01-01T05:00:00+00:00,0,0,0,0,0,0
130,0,850,12,2014-01-01T05:00:00+00:00,2014-02-01T05:00:00+00:00,0,0,44,117,15277,34019
107,0,814,9,2014-02-01T05:00:00+00:00,2014-03-01T05:00:00+00:00,0,0,42,104,11202,26608
162,0,720,20,2014-03-01T05:00:00+00:00,2014-04-01T04:00:00+00:00,0,0,47,126,20430,43246
133,0,1083,15,2014-04-01T04:00:00+00:00,2014-05-01T04:00:00+00:00,0,0,54,136,18161,33255
155,0,800,23,2014-05-01T04:00:00+00:00,2014-06-01T04:00:00+00:00,0,0,47,119,18465,39166
203,0,955,14,2014-06-01T04:00:00+00:00,2014-07-01T04:00:00+00:00,2,0,19,52,10668,55332
97,0,671,8,2014-07-01T04:00:00+00:00,2014-08-01T04:00:00+00:00,0,0,39,121,11783,29939
99,0,566,7,2014-08-01T04:00:00+00:00,2014-09-01T04:00:00+00:00,0,0,41,111,11030,26426
89,0,1055,7,2014-09-01T04:00:00+00:00,2014-10-01T04:00:00+00:00,0,0,41,115,10298,24524
115,0,734,12,2014-10-01T04:00:00+00:00,2014-11-01T04:00:00+00:00,0,0,46,136,15754,33868
75,1,75,9,2014-11-01T04:00:00+00:00,2014-12-01T05:00:00+00:00,0,0,43,130,9770,22507
86,52,88,6,2014-12-01T05:00:00+00:00,2015-01-01T05:00:00+00:00,0,0,34,97,8365,24527
"
",,,,,,,,,,,
