total_local_loads,total_embed_loads,sd_local_plays,sd_embed_plays,hd_local_plays,hd_embed_plays,sd_local_finishes,sd_embed_finishes,hd_local_finishes,hd_embed_finishes,comments,downloads,likes,total_loads,total_local_plays,total_embed_plays,total_plays,total_local_finishes,total_embed_finishes,total_finishes,range_start,range_end,date
566,7,6,0,8,0,0,0,1,0,0,0,0,573,14,0,14,1,0,1,2011-12-26,2011-12-31,Woche vom 26.12.2011
765,3,8,1,11,0,1,0,3,0,0,0,0,768,19,1,20,4,0,4,2011-12-19,2011-12-25,Woche vom 19.12.2011
656,5,38,0,27,0,1,0,1,0,0,0,0,661,65,0,65,2,0,2,2011-12-12,2011-12-18,Woche vom 12.12.2011
825,6,27,4,51,0,2,0,5,0,0,0,0,831,78,4,82,7,0,7,2011-12-05,2011-12-11,Woche vom 05.12.2011
808,17,33,2,55,0,5,0,4,0,0,0,0,825,88,2,90,9,0,9,2011-11-28,2011-12-04,Woche vom 28.11.2011
792,23,50,1,58,0,3,0,8,0,0,0,0,815,108,1,109,11,0,11,2011-11-21,2011-11-27,Woche vom 21.11.2011
1051,25,35,3,96,0,5,0,14,0,0,1,0,1076,131,3,134,19,0,19,2011-11-14,2011-11-20,Woche vom 14.11.2011
1064,10,58,1,223,0,12,0,29,0,0,0,0,1074,281,1,282,41,0,41,2011-11-07,2011-11-13,Woche vom 07.11.2011
666,38,59,3,36,0,7,0,3,0,0,0,0,704,95,3,98,10,0,10,2011-10-31,2011-11-06,Woche vom 31.10.2011
596,14,32,0,15,0,1,0,3,0,0,0,0,610,47,0,47,4,0,4,2011-10-24,2011-10-30,Woche vom 24.10.2011
668,14,42,2,23,0,4,0,3,0,0,0,0,682,65,2,67,7,0,7,2011-10-17,2011-10-23,Woche vom 17.10.2011
617,26,30,2,17,0,5,0,0,0,0,0,0,643,47,2,49,5,0,5,2011-10-10,2011-10-16,Woche vom 10.10.2011
705,26,40,1,20,0,7,0,2,0,0,0,0,731,60,1,61,9,0,9,2011-10-03,2011-10-09,Woche vom 03.10.2011
1022,42,23,0,11,0,1,0,1,0,0,0,0,1064,34,0,34,2,0,2,2011-09-26,2011-10-02,Woche vom 26.09.2011
1124,37,41,1,14,0,5,0,6,0,0,0,7,1161,55,1,56,11,0,11,2011-09-19,2011-09-25,Woche vom 19.09.2011
996,36,26,1,16,0,5,0,0,0,0,0,0,1032,42,1,43,5,0,5,2011-09-12,2011-09-18,Woche vom 12.09.2011
772,22,41,1,11,0,11,0,0,0,0,0,0,794,52,1,53,11,0,11,2011-09-05,2011-09-11,Woche vom 05.09.2011
723,30,56,1,14,0,11,0,2,0,0,2,0,753,70,1,71,13,0,13,2011-08-29,2011-09-04,Woche vom 29.08.2011
903,18,42,2,9,0,4,0,5,0,0,0,0,921,51,2,53,9,0,9,2011-08-22,2011-08-28,Woche vom 22.08.2011
956,33,38,1,17,0,5,0,3,0,0,0,0,989,55,1,56,8,0,8,2011-08-15,2011-08-21,Woche vom 15.08.2011
882,38,42,0,14,0,5,0,3,0,0,0,0,920,56,0,56,8,0,8,2011-08-08,2011-08-14,Woche vom 08.08.2011
872,41,35,3,12,0,6,1,3,0,0,1,0,913,47,3,50,9,1,10,2011-08-01,2011-08-07,Woche vom 01.08.2011
804,59,48,1,11,0,7,0,3,0,0,0,0,863,59,1,60,10,0,10,2011-07-25,2011-07-31,Woche vom 25.07.2011
