total_local_loads,total_embed_loads,sd_local_plays,sd_embed_plays,hd_local_plays,hd_embed_plays,sd_local_finishes,sd_embed_finishes,hd_local_finishes,hd_embed_finishes,comments,downloads,likes,total_loads,total_local_plays,total_embed_plays,total_plays,total_local_finishes,total_embed_finishes,total_finishes,range_start,range_end,date
519,113,37,0,14,0,9,0,5,0,0,0,0,632,51,0,51,14,0,14,2011-07-18,2011-07-24,Woche vom 18.07.2011
481,77,21,4,23,0,1,0,7,0,0,0,0,558,44,4,48,8,0,8,2011-07-11,2011-07-17,Woche vom 11.07.2011
449,56,18,1,11,0,1,0,1,0,0,0,0,505,29,1,30,2,0,2,2011-07-04,2011-07-10,Woche vom 04.07.2011
424,29,15,0,7,0,6,0,2,0,0,0,0,453,22,0,22,8,0,8,2011-06-27,2011-07-03,Woche vom 27.06.2011
289,41,26,4,10,0,10,0,2,0,0,0,0,330,36,4,40,12,0,12,2011-06-20,2011-06-26,Woche vom 20.06.2011
366,42,19,4,10,0,1,0,1,0,0,0,0,408,29,4,33,2,0,2,2011-06-13,2011-06-19,Woche vom 13.06.2011
295,34,13,1,13,0,3,0,1,0,0,0,0,329,26,1,27,4,0,4,2011-06-06,2011-06-12,Woche vom 06.06.2011
147,14,13,3,2,0,1,0,0,0,0,0,0,161,15,3,18,1,0,1,2011-05-30,2011-06-05,Woche vom 30.05.2011
270,20,27,1,7,0,4,0,1,0,0,1,0,290,34,1,35,5,0,5,2011-05-23,2011-05-29,Woche vom 23.05.2011
115,24,18,3,5,0,1,0,0,0,0,0,0,139,23,3,26,1,0,1,2011-05-16,2011-05-22,Woche vom 16.05.2011
236,20,23,3,5,0,3,0,0,0,0,0,0,256,28,3,31,3,0,3,2011-05-09,2011-05-15,Woche vom 09.05.2011
232,42,34,4,4,0,8,2,0,0,0,0,0,274,38,4,42,8,2,10,2011-05-02,2011-05-08,Woche vom 02.05.2011
389,35,22,9,10,0,2,0,2,0,0,0,0,424,32,9,41,4,0,4,2011-04-25,2011-05-01,Woche vom 25.04.2011
398,38,25,0,3,0,2,0,2,0,0,2,0,436,28,0,28,4,0,4,2011-04-18,2011-04-24,Woche vom 18.04.2011
363,40,9,1,3,0,1,0,0,0,0,3,0,403,12,1,13,1,0,1,2011-04-11,2011-04-17,Woche vom 11.04.2011
578,34,13,6,7,0,1,1,0,0,0,0,0,612,20,6,26,1,1,2,2011-04-04,2011-04-10,Woche vom 04.04.2011
527,35,6,5,0,0,1,0,0,0,0,0,1,562,6,5,11,1,0,1,2011-03-28,2011-04-03,Woche vom 28.03.2011
503,42,26,10,3,0,4,0,1,0,0,2,0,545,29,10,39,5,0,5,2011-03-21,2011-03-27,Woche vom 21.03.2011
896,33,15,1,4,0,1,0,0,0,0,0,0,929,19,1,20,1,0,1,2011-03-14,2011-03-20,Woche vom 14.03.2011
586,37,16,0,9,0,1,0,1,0,0,0,0,623,25,0,25,2,0,2,2011-03-07,2011-03-13,Woche vom 07.03.2011
1008,26,27,0,24,0,1,0,6,0,0,0,0,1034,51,0,51,7,0,7,2011-02-28,2011-03-06,Woche vom 28.02.2011
785,107,107,5,48,0,3,0,8,0,0,0,0,892,155,5,160,11,0,11,2011-02-21,2011-02-27,Woche vom 21.02.2011
816,32,42,2,56,0,3,0,14,0,0,0,0,848,98,2,100,17,0,17,2011-02-14,2011-02-20,Woche vom 14.02.2011
782,16,42,2,44,0,9,0,6,0,0,0,0,798,86,2,88,15,0,15,2011-02-07,2011-02-13,Woche vom 07.02.2011
686,32,13,3,42,0,1,1,4,0,0,0,0,718,55,3,58,5,1,6,2011-01-31,2011-02-06,Woche vom 31.01.2011
795,177,14,8,44,0,4,2,7,0,0,0,0,972,58,8,66,11,2,13,2011-01-24,2011-01-30,Woche vom 24.01.2011
685,26,19,2,28,0,2,0,3,0,0,0,0,711,47,2,49,5,0,5,2011-01-17,2011-01-23,Woche vom 17.01.2011
950,29,28,4,34,0,5,0,9,0,0,0,0,979,62,4,66,14,0,14,2011-01-10,2011-01-16,Woche vom 10.01.2011
724,66,16,6,39,0,6,2,7,0,0,0,0,790,55,6,61,13,2,15,2011-01-03,2011-01-09,Woche vom 03.01.2011
286,14,6,2,15,0,4,0,4,0,0,0,0,300,21,2,23,8,0,8,2011-01-01,2011-01-02,Woche vom 27.12.2010
