"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","mean_percent","mean_seconds","sum_seconds","total_seconds"
82,0,334,7,0,0,/videos/43495332,"Linux Mint 13 ""Maya"" MATE Edition - Demo",314,2012-06-05T21:13:59+00:00,Array,34,108,8916,25742
47,0,108,4,0,0,/videos/21653190,"Firefox - NoScript",237,2011-03-29T16:26:31+00:00,Array,19,45,2146,11136
41,0,101,2,0,0,/videos/38235343,"ein Video oder ein Bild drehen - ffmpeg - Videofilter transpose",159,2012-03-09T18:10:35+00:00,Array,41,66,2719,6552
32,0,69,3,0,0,/videos/52387087,"Open webOS - Desktop - Demo",210,2012-10-29T14:05:05+00:00,Array,55,117,3751,6745
32,2,45,2,0,0,/videos/29564949,Webcamstudio,392,2011-09-25T17:50:08+00:00,Array,51,201,6454,12572
31,0,75,2,0,0,/videos/27406360,"Firefox - HTTPS Everywhere",165,2011-08-07T18:28:14+00:00,Array,40,62,1938,4811
29,0,57,4,0,0,/videos/23596446,"Firefox - Adblock Plus",188,2011-05-11T17:21:36+00:00,Array,32,61,1770,5451
25,0,65,5,0,0,/videos/14140454,"Screencast 028 - Istanbul und byzanz",493,2010-08-14T16:15:23+00:00,Array,50,238,5954,11831
24,0,86,2,0,0,/videos/83659375,"Google Fusion Tables Tutorial - Beispiel WLAN-Standorte in Berlin auf Karte eintragen",649,2014-01-08T08:07:16+00:00,Array,55,358,8598,15573
24,0,54,1,0,0,/videos/40247147,"LibreOffice - Writer - AutoText benutzen",223,2012-04-12T17:59:17+00:00,Array,46,103,2476,5348
24,0,49,1,0,0,/videos/41097828,"Ubuntu 12.04 LTS - Demo",265,2012-04-26T18:17:03+00:00,Array,27,71,1720,6359
22,0,36,6,0,0,/videos/90719770,"Slackel 5.0 “Openbox” edition - Demo",456,2014-04-02T04:02:32+00:00,Array,51,233,5131,10031
21,0,73,1,0,0,/videos/27872363,"Firefox - Quick Locale Switcher",194,2011-08-18T18:17:38+00:00,Array,40,77,1632,4073
21,0,63,7,0,0,/videos/26970253,"Webcambilder mit Python und OpenCV am Bildschirm anzeigen",265,2011-07-27T17:11:25+00:00,Array,81,216,4550,5565
20,0,59,2,0,0,/videos/46367001,"Bodhi Linux 1.4 - Demo",260,2012-07-25T15:21:38+00:00,Array,61,151,3039,4939
19,0,61,3,0,0,/videos/49911156,"Linux - youtube-Download - ein youtube-Video herunterladen",313,2012-09-21T13:17:09+00:00,Array,31,99,1898,5963
19,0,38,3,0,0,/videos/79581014,"Zorin OS 6 Core - Demo",282,2013-11-17T01:22:25+00:00,Array,37,105,1996,5357
18,0,31,5,0,0,/videos/15818345,"Screencast glimpse 014 - Linux Mint 6 Universal Edition Installation",333,2010-10-13T20:39:52+00:00,Array,53,177,3188,5993
16,0,71,1,0,0,/videos/22294981,"Firefox - Flashblock - Flash blockieren",129,2011-04-12T15:42:56+00:00,Array,31,36,577,1805
16,0,24,1,0,0,/videos/52075716,"python urllib",366,2012-10-24T12:50:01+00:00,Array,44,154,2474,5503
15,0,42,2,0,0,/videos/40032113,"popcorn.js - Untertitel (subtitle)",292,2012-04-09T19:58:55+00:00,Array,68,200,3007,4393
14,1,23,0,0,0,/videos/46147566,"Gnome3 - gnome-tweak-tool im userMenu",453,2012-07-21T16:32:11+00:00,Array,37,171,2407,6342
14,0,21,2,0,0,/videos/39150670,"textualizer.js - Textanimationen auf der Webseite",288,2012-03-25T18:06:16+00:00,Array,53,154,2168,4044
12,0,13,1,0,0,/videos/50927779,"Taskwarrior - Projekte",134,2012-10-07T14:53:42+00:00,Array,23,31,382,1608
11,0,36,0,0,0,/videos/44194087,"LibreOffice - Writer - Rechtschreib- und Grammatikprüfung",295,2012-06-17T15:15:07+00:00,Array,34,100,1108,3244
11,0,44,2,0,0,/videos/38873977,"Gnome3 - Looking Glass",302,2012-03-20T20:09:43+00:00,Array,59,179,1969,3321
11,0,65,3,0,0,/videos/83659436,"Taskwarrior - wiederkehrende Aufgaben",300,2014-01-08T08:08:15+00:00,Array,63,207,2280,3609
11,0,46,3,0,0,/videos/39543580,"ffmpeg - Videofilter showinfo",122,2012-03-31T18:59:02+00:00,Array,48,59,656,1342
10,1,19,0,1,0,/videos/46145256,"DouDouLinux 1.2 - Demo",379,2012-07-21T15:21:39+00:00,Array,19,73,735,3788
10,0,33,3,0,0,/videos/83659419,"Taskwarrior - Abhängigkeiten (depends)",246,2014-01-08T08:08:07+00:00,Array,77,189,1896,2458
10,0,48,0,0,0,/videos/38518545,"mehrere PDF-Dateien verbinden - pdftk und pdfunite",142,2012-03-14T18:25:21+00:00,Array,53,76,762,1419
10,1,16,0,0,0,/videos/98507713,"openSUSE 13.1 RC2 - Demo",544,2014-06-18T04:30:34+00:00,Array,32,179,1791,5438
10,0,32,0,0,0,/videos/52389828,"nginx - PHP - FastCGI",304,2012-10-29T14:45:42+00:00,Array,5,18,182,3046
10,0,20,1,0,0,/videos/79595738,"redis - Publish-Subscribe",171,2013-11-17T11:04:07+00:00,Array,40,62,621,1548
9,1,44,0,0,0,/videos/37687318,"Python-Programmierung - OOP - Klassen in Python",375,2012-02-29T19:54:15+00:00,Array,40,117,1057,2625
9,0,12,1,0,0,/videos/46147338,"Matplotlib und Pylab - Installation",311,2012-07-21T16:23:43+00:00,Array,49,154,1392,2798
9,0,15,1,0,0,/videos/49313701,"opus - freier Audio-Codec",252,2012-09-12T14:29:14+00:00,Array,61,156,1407,2276
9,0,13,4,0,0,/videos/16147595,"Screencast short 007 - OpenOffice Writer - Text durchstreichen",51,2010-10-24T19:40:53+00:00,Array,73,38,343,468
9,1,23,0,0,0,/videos/43625989,"Bottle - Ein WSGI-Microframework für Python",639,2012-06-07T19:02:14+00:00,Array,34,219,1975,5751
8,0,9,0,0,0,/videos/18195832,"Screencast glimpse 028 - Linux Mint Debian 201012",288,2010-12-26T20:54:45+00:00,Array,30,77,616,2022
8,0,18,0,0,0,/videos/15426771,"Screencast 083 - key-mon und screenkey",298,2010-09-30T14:41:00+00:00,Array,22,66,531,2390
8,0,14,1,0,0,/videos/82657987,"Linux - Dateiüberprüfung mit iWatch - Einführung",309,2013-12-25T06:32:15+00:00,Array,20,62,496,2475
8,0,18,0,0,0,/videos/82658029,"Python-Programmierung - docopt - Installation",352,2013-12-25T06:33:22+00:00,Array,23,72,578,2471
8,0,33,3,0,0,/videos/27913987,"moonOS 4 Neak - Demo",202,2011-08-19T17:10:51+00:00,Array,52,105,845,1615
8,0,17,1,0,0,/videos/84442748,"CrunchBang Linux 11 - Demo",459,2014-01-18T01:08:19+00:00,Array,35,144,1156,3220
8,0,12,0,1,0,/videos/14699462,"Screencast 047 - glipper - Zwischenablagenverwalter",212,2010-09-04T18:22:09+00:00,Array,0,0,0,1696
8,0,42,1,0,0,/videos/83659429,"Taskwarrior - Etiketten (Tags)",177,2014-01-08T08:08:12+00:00,Array,55,98,786,1424
8,0,36,2,0,0,/videos/39580822,"ffmpeg - Videofilter format, Video in schwarz/weiss oder grau",233,2012-04-01T15:37:12+00:00,Array,80,187,1499,1864
8,0,22,0,0,0,/videos/43558812,"Mageia 2 - Demo",407,2012-06-06T19:26:00+00:00,Array,33,134,1078,3256
7,1,11,1,0,0,/videos/52387501,"lighttpd - PHP - CGI",368,2012-10-29T14:11:22+00:00,Array,52,195,1367,2582
7,0,43,0,0,0,/videos/38644411,"Python-Programmierung - OOP - Klassen in Python Teil2",232,2012-03-16T16:22:01+00:00,Array,38,88,621,1624
7,1,12,1,0,0,/videos/49505152,"redis - Installation",471,2012-09-15T13:32:44+00:00,Array,39,185,1298,3303
7,0,40,1,0,0,/videos/52079361,"lighttpd install",227,2012-10-24T13:48:51+00:00,Array,29,66,463,1595
7,0,14,1,0,0,/videos/88224773,"Antergos 2013.08.20 - Demo",323,2014-03-05T05:35:50+00:00,Array,37,120,846,2264
7,0,33,2,0,0,/videos/27021530,"Firefox - Referrer blockieren",298,2011-07-28T19:27:58+00:00,Array,86,257,1805,2082
6,0,38,1,0,0,/videos/46365709,"LibreOffice - Writer - Änderungen an einem Dokument verfolgen",226,2012-07-25T15:00:12+00:00,Array,47,107,646,1356
6,0,23,1,0,0,/videos/52386670,"nginx install",203,2012-10-29T13:59:13+00:00,Array,30,61,371,1218
6,0,42,2,0,0,/videos/39976388,"Python-Programmierung - Klassen in Python - Vererbung",316,2012-04-08T19:11:56+00:00,Array,62,163,981,1580
6,0,9,2,0,0,/videos/81105605,"Taskwarrior - Datum und Uhrzeit - scheduled",110,2013-12-05T15:03:09+00:00,Array,47,52,315,659
6,0,26,0,0,0,/videos/40553909,"Fedora 17 Beta - Demo",292,2012-04-17T22:06:18+00:00,Array,26,78,472,1758
6,0,30,0,0,0,/videos/80029654,"Gnome 3.6 - ENTF-Taste aktivieren (zum Löschen von Dateien)",148,2013-11-22T00:26:06+00:00,Array,60,89,538,888
6,0,11,0,0,0,/videos/89473253,"Raspberry Pi - pidora installieren",286,2014-03-19T04:42:14+00:00,Array,24,70,420,1716
6,0,18,2,0,0,/videos/86819930,"stegdetect (Steganografieerkennung) - Linux",125,2014-02-16T12:22:40+00:00,Array,55,69,417,750
5,1,32,0,0,0,/videos/13333000,"Linux - Wie ändere ich mein Hintergrundbild bei Gnome",450,2010-07-14T15:43:46+00:00,Array,39,178,890,2254
5,0,40,0,0,0,/videos/41039351,"ffmpeg - Videogrösse ändern",243,2012-04-25T20:50:30+00:00,Array,28,70,351,1214
5,0,11,0,0,0,/videos/82658023,"Python-Programmierung - docopt - Befehle, Argumente und Optionen",121,2013-12-25T06:33:12+00:00,Array,11,8,42,365
5,0,36,0,0,0,/videos/27068597,"Python-Programmierung - ein kleines Beispiel",212,2011-07-29T21:01:07+00:00,Array,36,77,388,1059
5,0,6,0,0,0,/videos/46141970,"bottle - HTTP Header Daten",175,2012-07-21T13:20:53+00:00,Array,68,120,603,880
5,0,32,1,0,0,/videos/81575408,"LibreOffice - Writer - Ändern von Seitenrändern",217,2013-12-11T06:09:47+00:00,Array,40,88,441,1089
5,0,5,1,0,0,/videos/49107086,"Linux - bleachbit",228,2012-09-09T13:25:49+00:00,Array,83,191,957,1140
5,0,35,0,0,0,/videos/29108821,"Firefox - ShowIP",96,2011-09-15T18:19:31+00:00,Array,73,71,355,485
5,0,12,0,0,0,/videos/48789833,"Manjaro Linux 0.8.0 - Demo",277,2012-09-04T07:54:20+00:00,Array,38,106,532,1390
5,0,18,0,0,0,/videos/80029648,"Gnome3 - Ordner vor Dateien anzeigen",196,2013-11-22T00:26:00+00:00,Array,61,120,601,985
5,0,6,1,0,0,/videos/37481117,"Videos spiegeln - ffmpeg - Videofilter hflip und vflip",197,2012-02-26T20:15:33+00:00,Array,54,107,538,988
5,0,37,0,0,0,/videos/37833067,"Gnome3 - Shell Extension CPU Frequency",221,2012-03-02T23:18:28+00:00,Array,39,86,434,1105
5,0,53,1,0,0,/videos/83659404,"LibreOffice Calc - Datensätze säubern, vereinheitlichen und automatisch ausfüllen",306,2014-01-08T08:07:42+00:00,Array,39,122,611,1534
5,0,54,2,0,0,/videos/29795129,"Gnome3 - Bildschirmtastaturen",175,2011-09-29T18:27:25+00:00,Array,94,164,824,874
4,0,14,0,0,0,/videos/79595736,"Peppermint OS Three - Demo",225,2013-11-17T11:04:07+00:00,Array,21,47,190,903
4,0,20,0,0,0,/videos/80029668,"Taskwarrior - Datum und Uhrzeit - Fälligkeit",133,2013-11-22T00:26:21+00:00,Array,51,68,272,532
4,0,32,1,0,0,/videos/22134156,"svg-edit - web svg-editor",242,2011-04-08T17:09:57+00:00,Array,71,173,695,968
4,0,13,0,0,0,/videos/79491464,"Redis - Datentypen - sorted sets",299,2013-11-15T15:16:23+00:00,Array,12,37,150,1199
4,0,9,1,0,0,/videos/26482224,"Ubuntu - html in pdf umwandeln",172,2011-07-15T17:39:37+00:00,Array,90,155,623,691
4,0,7,0,0,0,/videos/31155771,"pwgen - ein Passwort generieren",213,2011-10-26T17:45:48+00:00,Array,35,75,301,856
4,0,33,0,0,0,/videos/28161374,"OpenCV - ein Bild konvertieren",136,2011-08-25T17:22:24+00:00,Array,27,36,147,543
4,0,14,1,0,0,/videos/79581041,"Informationen über ein vimeo-Video ermitteln",258,2013-11-17T01:23:24+00:00,Array,50,130,522,1035
4,0,26,0,0,0,/videos/83603271,"sed - Erste Schritte mit regulären Ausdrücken",454,2014-01-07T17:09:15+00:00,Array,16,75,300,1820
4,0,10,1,0,0,/videos/82658012,"Python-Programmierung - docopt - Auswerten der Befehle, Argumente und Optionen",205,2013-12-25T06:33:05+00:00,Array,49,51,204,410
4,0,33,0,0,0,/videos/37331911,"ein Logo im Video anzeigen lassen - ffmpeg - Videofilter overlay",318,2012-02-23T19:44:12+00:00,Array,57,181,726,1272
4,0,35,0,0,0,/videos/81575414,"Python-Programmierung - Reguläre Ausdrücke - Suchen Teilen Ersetzen",210,2013-12-11T06:09:53+00:00,Array,17,37,148,843
4,0,6,0,0,0,/videos/52075155,"python generatorfunktion uebung",193,2012-10-24T12:40:04+00:00,Array,11,21,86,773
4,0,9,0,0,0,/videos/31615994,"Python-Programmierung - Funktionen (Teil 4)",151,2011-11-04T18:20:42+00:00,Array,67,102,411,608
4,0,11,0,0,0,/videos/91485692,"Ubuntu Studio 13.10 - Demo",618,2014-04-09T04:36:23+00:00,Array,50,233,933,1854
4,0,10,0,0,0,/videos/52074590,"redis sets",263,2012-10-24T12:30:38+00:00,Array,21,57,228,1052
4,0,48,0,0,0,/videos/83659397,"Tabellen von Webseiten kopieren",331,2014-01-08T08:07:34+00:00,Array,45,151,604,1328
4,0,7,0,0,0,/videos/28681746,"Gnome3 - Zoomen",336,2011-09-06T20:08:11+00:00,Array,62,211,844,1348
4,0,37,0,0,0,/videos/21457831,"LibreOffice - Zeichen und Wörter zählen",127,2011-03-24T20:55:01+00:00,Array,28,36,146,512
4,0,18,0,0,0,/videos/41946949,"Linux - diff - Dateien vergleichen",224,2012-05-10T21:50:38+00:00,Array,59,133,535,895
3,0,13,1,0,0,/videos/79489136,"LibreOffice - Writer - Seiten nummerieren",129,2013-11-15T14:44:18+00:00,Array,60,104,312,516
3,0,33,0,0,0,/videos/42047707,"Linux - SimpleHTTPServer",163,2012-05-12T20:47:59+00:00,Array,0,0,0,489
3,0,26,0,0,0,/videos/25408970,"Gnome3 - Rueckfall-Modus",175,2011-06-21T15:21:58+00:00,Array,22,39,117,525
"
",,,,,,,,,,,,,,
