"plays","downloads","loads","finishes","start_date","end_date","likes","comments","mean_percent","mean_seconds","sum_seconds","total_seconds"
78,24,78,10,2015-01-01T05:00:00+00:00,2015-02-01T05:00:00+00:00,0,0,47,116,9072,19264
62,8,64,9,2015-02-01T05:00:00+00:00,2015-03-01T05:00:00+00:00,0,0,43,119,7408,16995
72,1,72,8,2015-03-01T05:00:00+00:00,2015-04-01T04:00:00+00:00,0,0,53,174,12543,23608
58,0,59,7,2015-04-01T04:00:00+00:00,2015-05-01T04:00:00+00:00,0,0,53,185,10779,20223
65,0,65,6,2015-05-01T04:00:00+00:00,2015-06-01T04:00:00+00:00,0,0,40,127,8282,20354
62,1,185,5,2015-06-01T04:00:00+00:00,2015-07-01T04:00:00+00:00,0,0,46,129,8032,17306
119,6,9760,13,2015-07-01T04:00:00+00:00,2015-08-01T04:00:00+00:00,1,0,41,122,14556,34836
338,14,3830,37,2015-08-01T04:00:00+00:00,2015-09-01T04:00:00+00:00,0,0,29,94,31949,109954
467,5,2993,37,2015-09-01T04:00:00+00:00,2015-10-01T04:00:00+00:00,0,0,24,84,39428,159208
406,2,2388,41,2015-10-01T04:00:00+00:00,2015-11-01T04:00:00+00:00,0,0,24,82,33423,139244
500,2,2162,44,2015-11-01T04:00:00+00:00,2015-12-01T05:00:00+00:00,1,0,22,76,38324,169317
583,3,2017,39,2015-12-01T05:00:00+00:00,2016-01-01T05:00:00+00:00,0,0,20,68,39866,192900
0,0,0,0,0,0,2014-12-01T05:00:00+00:00,2015-01-01T05:00:00+00:00,0,0,0,0
"
",,,,,,,,,,,
