total_local_loads,total_embed_loads,sd_local_plays,sd_embed_plays,hd_local_plays,hd_embed_plays,sd_local_finishes,sd_embed_finishes,hd_local_finishes,hd_embed_finishes,comments,downloads,likes,total_loads,total_local_plays,total_embed_plays,total_plays,total_local_finishes,total_embed_finishes,total_finishes,range_start,range_end,date
650,106,16,29,14,0,3,5,2,0,0,0,0,756,30,29,59,5,5,10,2010-12-27,2010-12-31,Woche vom 27.12.2010
571,37,19,1,4,0,2,0,1,0,0,0,0,608,23,1,24,3,0,3,2010-12-20,2010-12-26,Woche vom 20.12.2010
589,94,1629,0,4,0,3,0,0,0,0,0,0,683,1633,0,1633,3,0,3,2010-12-13,2010-12-19,Woche vom 13.12.2010
697,89,27,1,10,0,3,0,4,0,0,0,0,786,37,1,38,7,0,7,2010-12-06,2010-12-12,Woche vom 06.12.2010
619,117,19,0,5,0,3,0,0,0,0,0,0,736,24,0,24,3,0,3,2010-11-29,2010-12-05,Woche vom 29.11.2010
980,44,20,1,4,0,5,0,0,0,0,0,0,1024,24,1,25,5,0,5,2010-11-22,2010-11-28,Woche vom 22.11.2010
880,60,24,2,14,0,5,0,1,0,0,0,0,940,38,2,40,6,0,6,2010-11-15,2010-11-21,Woche vom 15.11.2010
877,112,29,2,8,0,5,0,2,0,0,0,0,989,37,2,39,7,0,7,2010-11-08,2010-11-14,Woche vom 08.11.2010
932,38,37,0,1,0,9,0,0,0,0,0,0,970,38,0,38,9,0,9,2010-11-01,2010-11-07,Woche vom 01.11.2010
1347,92,23,0,2,0,1,0,1,0,0,0,0,1439,25,0,25,2,0,2,2010-10-25,2010-10-31,Woche vom 25.10.2010
788,44,28,0,0,0,1,0,0,0,0,0,0,832,28,0,28,1,0,1,2010-10-18,2010-10-24,Woche vom 18.10.2010
458,14,29,0,3,0,4,0,1,0,0,0,1,472,32,0,32,5,0,5,2010-10-11,2010-10-17,Woche vom 11.10.2010
393,18,16,0,1,0,5,0,0,0,0,0,0,411,17,0,17,5,0,5,2010-10-04,2010-10-10,Woche vom 04.10.2010
358,17,4,0,0,0,3,0,0,0,0,0,0,375,4,0,4,3,0,3,2010-09-27,2010-10-03,Woche vom 27.09.2010
589,29,8,0,0,0,1,0,0,0,0,0,0,618,8,0,8,1,0,1,2010-09-20,2010-09-26,Woche vom 20.09.2010
388,37,18,0,0,0,5,0,0,0,0,0,0,425,18,0,18,5,0,5,2010-09-13,2010-09-19,Woche vom 13.09.2010
316,32,14,0,0,0,1,0,0,0,0,0,0,348,14,0,14,1,0,1,2010-09-06,2010-09-12,Woche vom 06.09.2010
362,19,15,0,0,0,8,0,0,0,0,0,0,381,15,0,15,8,0,8,2010-08-30,2010-09-05,Woche vom 30.08.2010
201,20,16,0,0,0,5,0,0,0,0,0,0,221,16,0,16,5,0,5,2010-08-23,2010-08-29,Woche vom 23.08.2010
99,5,5,0,0,0,0,0,0,0,0,0,0,104,5,0,5,0,0,0,2010-08-16,2010-08-22,Woche vom 16.08.2010
261,20,6,0,0,0,2,0,0,0,0,0,0,281,6,0,6,2,0,2,2010-08-09,2010-08-15,Woche vom 09.08.2010
217,13,7,0,0,0,0,0,0,0,0,0,0,230,7,0,7,0,0,0,2010-08-02,2010-08-08,Woche vom 02.08.2010
205,16,4,0,0,0,1,0,0,0,0,0,0,221,4,0,4,1,0,1,2010-07-26,2010-08-01,Woche vom 26.07.2010
164,9,4,0,0,0,0,0,0,0,0,0,0,173,4,0,4,0,0,0,2010-07-19,2010-07-25,Woche vom 19.07.2010
96,8,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,2010-07-12,2010-07-18,Woche vom 12.07.2010
,,,,,,,,,,0,,0,0,0,0,0,0,0,0,2010-07-05,2010-07-11,Woche vom 05.07.2010
,,,,,,,,,,0,,0,0,0,0,0,0,0,0,2010-06-28,2010-07-04,Woche vom 28.06.2010
,,,,,,,,,,0,,0,0,0,0,0,0,0,0,2010-06-21,2010-06-27,Woche vom 21.06.2010
,,,,,,,,,,0,,0,0,0,0,0,0,0,0,2010-06-14,2010-06-20,Woche vom 14.06.2010
,,,,,,,,,,0,,0,0,0,0,0,0,0,0,2010-06-07,2010-06-13,Woche vom 07.06.2010
,,,,,,,,,,0,,0,0,0,0,0,0,0,0,2010-05-31,2010-06-06,Woche vom 31.05.2010
,,,,,,,,,,0,,0,0,0,0,0,0,0,0,2010-05-24,2010-05-30,Woche vom 24.05.2010
