"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","mean_percent","mean_seconds","sum_seconds","total_seconds"
3188,2,5649,91,0,0,/videos/128161641,"Tails 0.22 - Demo (The Amnesic Incognito Live System)",367,2015-05-18T16:28:11+00:00,Array,11,31,99525,899498
155,0,454,11,0,0,/videos/152876074,"Cub Linux 1.5 (Chromium + Ubuntu) - Demo",474,2016-01-24T13:20:52+00:00,Array,44,188,29176,65350
73,0,213,10,0,0,/videos/83659375,"Google Fusion Tables Tutorial - Beispiel WLAN-Standorte in Berlin auf Karte eintragen",649,2014-01-08T08:07:16+00:00,Array,63,387,28287,44759
67,1,306,8,0,0,/videos/138085115,"Python für Anfänger - Python-Programme ausführen",244,2015-09-02T14:18:45+00:00,Array,59,144,9662,16331
64,1,203,10,0,0,/videos/26970253,"Webcambilder mit Python und OpenCV am Bildschirm anzeigen",265,2011-07-27T17:11:25+00:00,Array,83,199,12785,15350
44,1,209,1,0,0,/videos/138640900,"Web Scraping mit R - Webscraping mit rvest und dem Selector Gadget",229,2015-09-08T16:05:52+00:00,Array,52,105,4655,8933
40,1,181,8,0,0,/videos/151655450,"Remix OS 2.0 Alpha - Demo (Android 5.1.1 auf dem PC, Guest Mode)",471,2016-01-13T15:26:54+00:00,Array,43,187,7497,17413
39,0,140,4,0,0,/videos/155228780,"RebeccaBlackOS 2016-02-08 (Wayland) - Demo",376,2016-02-13T16:04:06+00:00,Array,54,171,6705,12408
36,1,122,1,0,0,/videos/142776685,"Opensuse Leap 42.1 RC1 - Demo",452,2015-10-18T11:58:04+00:00,Array,34,133,4813,14004
34,0,95,0,0,0,/videos/15807422,"Screencast glimpse 011 - OpenSolaris 2008.11",274,2010-10-13T14:56:06+00:00,Array,35,75,2558,7128
31,2,400,8,0,0,/videos/140204552,"Python für Anfänger - Einfaches Zeichnen mit turtle",255,2015-09-23T16:31:56+00:00,Array,66,168,5215,7897
28,1,142,4,0,0,/videos/140501148,"Gnome 3.18 - gedit - Minikarte (Overview Map) - Demo",64,2015-09-26T07:30:22+00:00,Array,61,42,1177,1907
27,1,154,2,0,0,/videos/135466234,"Web Scraping mit R",557,2015-08-05T14:22:03+00:00,Array,52,270,7302,13912
26,2,129,5,0,0,/videos/142776684,"Opensuse Leap 42.1 RC1 - Installation - Demo",211,2015-10-18T11:58:04+00:00,Array,64,125,3275,5067
25,1,82,1,0,0,/videos/133456528,"Vivaldi Browser - Demo",643,2015-07-14T14:46:55+00:00,Array,29,156,3923,13498
23,0,70,1,0,0,/videos/90719751,"Linux - Liquid prompt",468,2014-04-02T04:02:06+00:00,Array,39,184,4240,10760
22,0,128,1,0,0,/videos/140507651,"Linux - Kostenloser Linux-Desktop in der Cloud: LabxNow",330,2015-09-26T11:13:33+00:00,Array,54,180,3971,7246
21,0,72,0,0,0,/videos/38235343,"ein Video oder ein Bild drehen - ffmpeg - Videofilter transpose",159,2012-03-09T18:10:35+00:00,Array,36,56,1179,3192
21,0,61,7,0,0,/videos/98507711,"Raspberry Pi - arkos installieren (Self-Hosting ganz einfach)",341,2014-06-18T04:30:33+00:00,Array,86,293,6171,7156
19,0,102,2,0,0,/videos/155150986,"Lumina 0.8.7 (Lumina-Desktop on Ubuntu 15.10) - Demo",351,2016-02-12T18:09:16+00:00,Array,41,136,2596,6323
15,0,83,0,0,0,/videos/27021530,"Firefox - Referrer blockieren",298,2011-07-28T19:27:58+00:00,Array,24,69,1037,4167
13,0,50,2,0,0,/videos/89473195,"ffmpeg - Text in ein Video zeichnen (Videofilter drawtext)",232,2014-03-19T04:41:23+00:00,Array,65,139,1817,2793
13,0,42,1,0,0,/videos/90719757,"Lubuntu 13.10 - Demo",282,2014-04-02T04:02:16+00:00,Array,44,87,1133,2540
13,0,46,2,0,0,/videos/52387087,"Open webOS - Desktop - Demo",210,2012-10-29T14:05:05+00:00,Array,60,78,1018,1686
13,0,65,1,0,0,/videos/154343736,"Tails 2.0 - Demo",429,2016-02-05T18:24:44+00:00,Array,49,194,2534,5154
13,0,40,1,0,0,/videos/27406360,"Firefox - HTTPS Everywhere",165,2011-08-07T18:28:14+00:00,Array,62,95,1239,1988
12,1,63,2,0,0,/videos/133493398,"Debian 8 “Jessie” steht zur Verfügung",308,2015-07-14T20:52:54+00:00,Array,51,132,1595,3084
12,1,176,4,0,0,/videos/134985749,"Python für Anfänger - Was brauchst du",172,2015-07-30T20:12:34+00:00,Array,66,113,1365,2060
12,0,77,1,0,0,/videos/136310956,"Fedora 23 Alpha (Workstation) - Demo",306,2015-08-14T15:08:59+00:00,Array,34,97,1170,3368
11,2,47,1,0,0,/videos/132930954,"Git für Einsteiger - Was ist Git ?",448,2015-07-08T13:31:57+00:00,Array,44,145,1602,3581
11,1,40,1,0,0,/videos/132923579,"Linux - Festplattengeschwindigkeit mit hdparm vermessen",268,2015-07-08T12:00:22+00:00,Array,38,93,1031,2686
11,1,58,1,0,0,/videos/133495889,"Sonic Pi - Musik und Programmierung (Raspberry Pi)",255,2015-07-14T21:18:26+00:00,Array,60,139,1532,2553
11,1,194,3,0,0,/videos/135802843,"Python für Anfänger - Was ist Python",212,2015-08-09T16:54:12+00:00,Array,37,72,793,2116
11,1,42,1,0,0,/videos/189335969,"Maui 2 ""Blue Tang"" (Linux) - Demo",464,2016-10-28T16:08:32+00:00,Array,53,246,2713,5115
10,3,74,2,0,0,/videos/132917749,"Privacy Badger - die Datenschutz-Erweiterung für Firefox",182,2015-07-08T10:35:06+00:00,Array,76,69,698,913
10,1,81,1,0,0,/videos/132922037,"Ubuntu Privacy Remix (UPR) 12.04r1 - Demo",407,2015-07-08T11:40:13+00:00,Array,41,167,1679,4071
