total_local_loads,total_embed_loads,sd_local_plays,sd_embed_plays,hd_local_plays,hd_embed_plays,sd_local_finishes,sd_embed_finishes,hd_local_finishes,hd_embed_finishes,comments,downloads,likes,total_loads,total_local_plays,total_embed_plays,total_plays,total_local_finishes,total_embed_finishes,total_finishes,range_start,range_end,date
103,0,1,0,0,0,0,0,0,0,0,0,0,103,1,0,1,0,0,0,2012-12-31,2012-12-31,Woche vom 31.12.2012
1148,14,26,1,1,0,2,0,0,0,0,0,0,1162,27,1,28,2,0,2,2012-12-24,2012-12-30,Woche vom 24.12.2012
1160,24,28,2,0,0,4,0,0,0,0,0,0,1184,28,2,30,4,0,4,2012-12-17,2012-12-23,Woche vom 17.12.2012
1125,18,26,0,1,0,3,0,0,0,0,0,0,1143,27,0,27,3,0,3,2012-12-10,2012-12-16,Woche vom 10.12.2012
1701,23,89,1,2,0,8,0,0,0,0,0,0,1724,91,1,92,8,0,8,2012-12-03,2012-12-09,Woche vom 03.12.2012
1662,15,72,0,1,0,11,0,0,0,0,0,0,1677,73,0,73,11,0,11,2012-11-26,2012-12-02,Woche vom 26.11.2012
1827,12,69,0,1,0,6,0,0,0,0,0,0,1839,70,0,70,6,0,6,2012-11-19,2012-11-25,Woche vom 19.11.2012
1333,9,50,4,0,0,7,0,0,0,0,4,0,1342,50,4,54,7,0,7,2012-11-12,2012-11-18,Woche vom 12.11.2012
1000,27,54,1,14,0,3,0,1,0,0,1,0,1027,68,1,69,4,0,4,2012-11-05,2012-11-11,Woche vom 05.11.2012
1000,32,70,4,18,0,6,0,3,0,0,2,0,1032,88,4,92,9,0,9,2012-10-29,2012-11-04,Woche vom 29.10.2012
1248,20,89,2,13,0,9,0,0,0,0,3,0,1268,102,2,104,9,0,9,2012-10-22,2012-10-28,Woche vom 22.10.2012
824,19,72,1,15,0,5,0,1,0,0,1,0,843,87,1,88,6,0,6,2012-10-15,2012-10-21,Woche vom 15.10.2012
1064,30,66,0,17,0,4,0,3,0,0,0,0,1094,83,0,83,7,0,7,2012-10-08,2012-10-14,Woche vom 08.10.2012
1223,68,50,2,24,0,4,1,3,0,0,5,0,1291,74,2,76,7,1,8,2012-10-01,2012-10-07,Woche vom 01.10.2012
811,20,45,3,17,0,6,0,0,0,0,2,0,831,62,3,65,6,0,6,2012-09-24,2012-09-30,Woche vom 24.09.2012
915,34,57,1,18,0,10,0,1,0,0,0,0,949,75,1,76,11,0,11,2012-09-17,2012-09-23,Woche vom 17.09.2012
1302,65,69,2,19,0,9,0,1,0,0,0,0,1367,88,2,90,10,0,10,2012-09-10,2012-09-16,Woche vom 10.09.2012
1088,56,79,1,15,0,10,0,5,0,1,0,0,1144,94,1,95,15,0,15,2012-09-03,2012-09-09,Woche vom 03.09.2012
1147,43,61,2,24,0,5,0,4,0,0,0,0,1190,85,2,87,9,0,9,2012-08-27,2012-09-02,Woche vom 27.08.2012
1249,45,59,4,13,0,10,1,1,0,0,0,0,1294,72,4,76,11,1,12,2012-08-20,2012-08-26,Woche vom 20.08.2012
1198,24,54,1,13,0,6,0,2,0,0,5,0,1222,67,1,68,8,0,8,2012-08-13,2012-08-19,Woche vom 13.08.2012
1289,25,55,1,19,0,9,0,0,0,0,2,0,1314,74,1,75,9,0,9,2012-08-06,2012-08-12,Woche vom 06.08.2012
1508,13,57,1,9,0,8,0,1,0,0,0,0,1521,66,1,67,9,0,9,2012-07-30,2012-08-05,Woche vom 30.07.2012
1453,23,57,5,20,0,5,0,4,0,0,0,0,1476,77,5,82,9,0,9,2012-07-23,2012-07-29,Woche vom 23.07.2012
1280,17,30,0,12,0,5,0,0,0,0,0,0,1297,42,0,42,5,0,5,2012-07-16,2012-07-22,Woche vom 16.07.2012
1525,20,32,0,14,0,2,0,2,0,0,0,0,1545,46,0,46,4,0,4,2012-07-09,2012-07-15,Woche vom 09.07.2012
1298,16,34,3,4,0,1,0,0,0,0,0,0,1314,38,3,41,1,0,1,2012-07-02,2012-07-08,Woche vom 02.07.2012
1538,13,42,1,14,0,2,1,3,0,0,1,0,1551,56,1,57,5,1,6,2012-06-25,2012-07-01,Woche vom 25.06.2012
1525,15,31,2,7,0,2,1,0,0,0,2,0,1540,38,2,40,2,1,3,2012-06-18,2012-06-24,Woche vom 18.06.2012
1523,25,42,3,14,0,5,0,1,0,0,2,0,1548,56,3,59,6,0,6,2012-06-11,2012-06-17,Woche vom 11.06.2012
1431,26,53,7,12,0,7,1,0,0,0,1,1,1457,65,7,72,7,1,8,2012-06-04,2012-06-10,Woche vom 04.06.2012
1231,5,88,3,16,0,9,0,3,0,0,1,0,1236,104,3,107,12,0,12,2012-05-28,2012-06-03,Woche vom 28.05.2012
