total_local_loads,total_embed_loads,sd_local_plays,sd_embed_plays,hd_local_plays,hd_embed_plays,sd_local_finishes,sd_embed_finishes,hd_local_finishes,hd_embed_finishes,comments,downloads,likes,total_loads,total_local_plays,total_embed_plays,total_plays,total_local_finishes,total_embed_finishes,total_finishes,range_start,range_end,date
1386,8,47,1,20,0,10,0,0,0,0,0,0,1394,67,1,68,10,0,10,2012-05-21,2012-05-27,Woche vom 21.05.2012
843,1,42,1,10,0,9,1,1,0,0,1,0,844,52,1,53,10,1,11,2012-05-14,2012-05-20,Woche vom 14.05.2012
1046,60,67,0,17,0,9,0,3,0,0,0,0,1106,84,0,84,12,0,12,2012-05-07,2012-05-13,Woche vom 07.05.2012
1105,3,65,1,30,0,8,1,3,0,0,0,0,1108,95,1,96,11,1,12,2012-04-30,2012-05-06,Woche vom 30.04.2012
1431,1,157,0,76,0,18,0,10,0,0,0,0,1432,233,0,233,28,0,28,2012-04-23,2012-04-29,Woche vom 23.04.2012
1319,0,116,0,34,0,12,0,5,0,0,2,0,1319,150,0,150,17,0,17,2012-04-16,2012-04-22,Woche vom 16.04.2012
1227,15,38,1,19,0,5,0,3,0,0,0,0,1242,57,1,58,8,0,8,2012-04-09,2012-04-15,Woche vom 09.04.2012
1165,20,39,5,15,0,8,0,2,0,0,0,0,1185,54,5,59,10,0,10,2012-04-02,2012-04-08,Woche vom 02.04.2012
1081,6,40,3,20,0,2,0,6,0,0,0,0,1087,60,3,63,8,0,8,2012-03-26,2012-04-01,Woche vom 26.03.2012
1018,3,33,0,13,0,2,0,4,0,0,0,0,1021,46,0,46,6,0,6,2012-03-19,2012-03-25,Woche vom 19.03.2012
886,6,16,1,8,0,3,1,0,0,0,0,0,892,24,1,25,3,1,4,2012-03-12,2012-03-18,Woche vom 12.03.2012
931,8,27,2,11,0,2,0,3,0,0,0,0,939,38,2,40,5,0,5,2012-03-05,2012-03-11,Woche vom 05.03.2012
1040,11,18,1,11,0,6,0,3,0,0,0,0,1051,29,1,30,9,0,9,2012-02-27,2012-03-04,Woche vom 27.02.2012
1019,10,15,1,14,0,0,0,1,0,0,0,0,1029,29,1,30,1,0,1,2012-02-20,2012-02-26,Woche vom 20.02.2012
1194,2,17,0,16,0,2,0,3,0,0,0,0,1196,33,0,33,5,0,5,2012-02-13,2012-02-19,Woche vom 13.02.2012
876,0,12,1,6,0,0,0,0,0,0,0,0,876,18,1,19,0,0,0,2012-02-06,2012-02-12,Woche vom 06.02.2012
478,7,9,1,7,0,1,0,0,0,0,0,0,485,16,1,17,1,0,1,2012-01-30,2012-02-05,Woche vom 30.01.2012
536,18,27,2,16,0,0,0,0,0,0,0,0,554,43,2,45,0,0,0,2012-01-23,2012-01-29,Woche vom 23.01.2012
484,10,11,3,10,0,0,0,2,0,0,0,0,494,21,3,24,2,0,2,2012-01-16,2012-01-22,Woche vom 16.01.2012
511,43,17,3,6,0,6,0,2,0,0,2,0,554,23,3,26,8,0,8,2012-01-09,2012-01-15,Woche vom 09.01.2012
570,16,13,2,12,0,2,0,3,0,0,0,0,586,25,2,27,5,0,5,2012-01-02,2012-01-08,Woche vom 02.01.2012
113,2,3,1,9,0,1,0,5,0,0,0,0,115,12,1,13,6,0,6,2012-01-01,2012-01-01,Woche vom 26.12.2011
