"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","mean_percent","mean_seconds","sum_seconds","total_seconds"
4,0,26,1,0,0,/videos/136390433,"LibreOffice 5 installieren (Linux)",186,2015-08-15T17:49:43+00:00,Array,52,97,391,744
4,0,44,3,0,0,/videos/46141970,"bottle - HTTP Header Daten",175,2012-07-21T13:20:53+00:00,Array,96,168,675,700
4,0,14,0,0,0,/videos/121216515,"Manjaro Linux 0.8.8 Xfce - Demo",447,2015-03-04T05:24:12+00:00,Array,56,254,1017,1788
4,0,32,0,0,0,/videos/22294981,"Firefox - Flashblock - Flash blockieren",129,2011-04-12T15:42:56+00:00,Array,5,6,27,516
4,0,21,1,0,0,/videos/16172348,"Screencast short 011 - OpenOffice Writer - Text zentrieren",42,2010-10-25T14:44:18+00:00,Array,40,17,68,168
4,0,17,0,0,0,/videos/22894442,"Gnome3 - Fenster minimieren, Fenster maximieren, Fenstermenue aktivieren",146,2011-04-26T14:52:36+00:00,Array,26,39,157,583
4,0,22,2,0,0,/videos/83659404,"LibreOffice Calc - Datensätze säubern, vereinheitlichen und automatisch ausfüllen",306,2014-01-08T08:07:42+00:00,Array,50,153,612,1224
4,0,29,0,0,0,/videos/49505152,"redis - Installation",471,2012-09-15T13:32:44+00:00,Array,5,24,97,1884
4,0,22,0,0,0,/videos/80423318,"blockdiag - nwdiag und seqdiag",310,2013-11-26T23:55:44+00:00,Array,46,144,576,1239
4,0,32,3,0,0,/videos/52078247,woof,284,2012-10-24T13:31:49+00:00,Array,79,226,904,1136
4,0,27,0,0,0,/videos/46147566,"Gnome3 - gnome-tweak-tool im userMenu",453,2012-07-21T16:32:11+00:00,Array,39,180,723,1810
4,0,37,1,0,0,/videos/16663014,"LibreOffice 3.3.0 Beta2 - Installation",628,2010-11-09T17:29:27+00:00,Array,47,297,1190,2512
4,0,30,1,0,0,/videos/133452109,"Rebellin Linux Synergy 2.5 - Demo",412,2015-07-14T14:04:17+00:00,Array,50,207,830,1648
4,0,24,1,0,0,/videos/135066890,"AngularJS - Ereignisdirektiven (Event: ng-click)",234,2015-07-31T16:52:10+00:00,Array,33,78,313,933
4,0,21,1,0,0,/videos/37481117,"Videos spiegeln - ffmpeg - Videofilter hflip und vflip",197,2012-02-26T20:15:33+00:00,Array,78,154,619,788
4,0,29,0,0,0,/videos/134985752,"dnf - die wichtigsten Kommandos (Fedora)",233,2015-07-30T20:12:34+00:00,Array,31,72,290,932
4,0,28,2,0,0,/videos/82658026,"Python-Programmierung - docopt - automatische Hilfstexte",87,2013-12-25T06:33:17+00:00,Array,56,48,194,345
"
",,,,,,,,,,,,,,
