Video,Video ID,Video length (minutes),Video created,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Python-Programmierung - Ab ins Netz - urllib und urllib2,3jT0PqmeqlA,6.12,"Oct 12, 2012",531,240,2.21,36.17,9,7,10,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
photorec und recoverjpeg - gelöschte Dateien wiederherstellen,7xeti_eC_a4,7.58,"Sep 04, 2013",528,180,2.93,38.68,9,1,8,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - pygments - Syntax-Highlighting,D7GtJ6JDNJU,9.08,"Apr 23, 2014",525,341,1.54,16.94,9,6,10,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,2,0,0,0,3,5,2,0,0,0
LibreOffice - Sonderzeichen einfügen,y4YGn-rc0Gc,2.50,"Nov 27, 2011",523,514,1.02,40.72,9,3,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LibreOffice - Dokument mit einem Passwort schützen,Bfymrr1b7Tg,3.85,"Aug 04, 2011",523,344,1.52,39.48,9,10,11,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Python-Programmierung - Richtig einrücken,m2UDI5Fy6qw,2.87,"Sep 04, 2013",518,280,1.85,64.58,9,20,41,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpenIndiana 2015.03 Hipster - Demo,RxNdTurXnYQ,4.28,"Apr 01, 2015",517,542,0.95,22.25,9,17,23,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,2,0,0,0,1,3,2,0,0,0
LibreOffice - Writer - Änderungen an einem Dokument verfolgen,SnT_h3NKUsk,3.77,"Jul 13, 2012",508,325,1.56,41.53,8,2,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,1,0,0,0
Python-Programmierung - Klassen in Python - Vererbung,n5goVmi98bw,5.27,"Apr 08, 2012",506,202,2.50,47.55,8,10,33,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webcambilder mit Python und OpenCV am Bildschirm anzeigen,pKIzCEzUxw0,4.42,"Jul 27, 2011",497,226,2.20,49.84,8,26,62,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CouchDB - erste Schritte,SsxMqWBNlho,4.70,"Apr 05, 2012",486,243,2.00,42.55,8,1,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
LibreOffice - Calc - Fixieren von Spalten und Zeilen,czJ6EpZRFGU,4.63,"Apr 08, 2014",483,248,1.95,42.04,8,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Bottle - Ein WSGI-Microframework für Python,7YgdIgEjGBg,10.65,"Jun 04, 2012",483,142,3.40,31.94,8,16,55,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
pwgen - ein Passwort generieren,kvZESHxtx9c,3.55,"Oct 26, 2011",483,473,1.02,28.76,8,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Python-Programmierung - Dictionaries,3qVbbh0_UoQ,5.57,"Aug 12, 2011",462,149,3.10,55.73,8,18,56,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Privacy Badger - die Datenschutz-Erweiterung für Firefox,WuYDbB6Mr3A,3.05,"May 04, 2014",456,389,1.17,38.44,8,5,14,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LibreOffice - Writer - Kopf- und Fusszeilen erstellen,GemGDdznxQU,3.92,"Sep 20, 2012",451,231,1.95,49.85,8,1,4,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ubuntu Touch - Scopes,MJPoxAnO5KE,2.92,"Mar 12, 2014",451,488,0.92,31.67,8,1,1,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
GNOME 3.12 - Demo,38KutCbrNsc,12.12,"Mar 27, 2014",450,250,1.80,14.85,7,1,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,3,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
Informationen über ein Youtube-Video auslesen - Youtube Data API,3W41GRAx0lQ,4.70,"Oct 25, 2012",440,273,1.61,34.28,7,11,17,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,3,7,0,0,0,2,3,1,0,0,0
Firefox OS,KyvNlb1MOlk,2.88,"Jul 25, 2013",437,726,0.60,20.86,7,14,20,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Ubuntu Touch Emulator installieren,RO9MT1yzbSA,6.20,"Mar 10, 2014",437,313,1.39,22.50,7,4,9,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Firefox - ungefähre Standortbestimmung deaktivieren - geo.enabled deaktivieren,LhV8CyF7f4w,2.08,"Nov 02, 2013",436,350,1.25,59.85,7,3,6,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Online-TV mit Magine und Pipelight/Silverlight unter Linux betrachten,dIyHCbx8Jrw,5.12,"Apr 29, 2014",429,304,1.41,27.58,7,1,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux - Administrator-Rechte vergeben,boq9Ls-LvKg,4.53,"Sep 04, 2013",416,261,1.59,35.18,7,5,9,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Raspberry Pi - eine LED ein- und ausschalten,iFewgCdIdMU,9.05,"May 01, 2014",413,160,2.58,28.49,7,11,67,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,2,95,2.11,11,95,11.58,95,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
LibreOffice 5 installieren (Linux),gb1IYzofAAc,3.12,"Aug 15, 2015",409,229,1.79,57.34,7,23,37,0,0,0.00,0,95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,1,0,0,0,0,3,4,1,0,0,0
GIMP - Einen Rahmen um einen Bereich in einem Bild ziehen,mYJE59lh7GQ,4.12,"Apr 16, 2014",407,282,1.44,35.05,7,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0
Linux - youtube-Download - youtube-Videos herunterladen,C3oKpIHoA6Y,5.23,"Sep 17, 2012",406,205,1.98,37.84,7,4,12,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Firefox OS 2.0 und Firefox OS 1.5 im Vergleich (per Simulator) - Demo,dp_rGiGY59A,9.93,"May 22, 2014",401,175,2.29,23.04,7,6,42,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
LibreOffice - Calc - Datum und Zeit eingeben,hbWiDXxRvhE,3.58,"Apr 23, 2014",399,276,1.45,40.34,7,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
nginx - PHP - FastCGI,gppdmWBa0uc,5.08,"Oct 18, 2012",394,304,1.30,25.51,7,2,10,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0
Xubuntu 15.04 Beta 1 - Demo,cpCBWuxcpig,5.73,"Feb 27, 2015",391,342,1.14,19.92,7,27,22,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,1,0,0,0,2,4,2,0,0,0
Python-Programmierung - Funktionen (Teil 2),gK6s5EFjHm4,4.73,"Sep 13, 2011",387,180,2.15,45.39,6,22,37,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Git für Einsteiger - Git-Repository anlegen,wEuGHdkINZo,5.93,"Feb 01, 2015",384,150,2.56,43.15,6,25,93,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,7,126,5.56,6,126,4.76,126,3,3,0,0,0,0,0,3,0,0,0,3,8,5,0,0,0
Linux - gelöschte Dateien wiederherstellen,9DoDY09AAdg,3.72,"Mar 29, 2015",380,206,1.85,49.66,6,40,77,2,21,9.52,7,320,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,7,7,0,0,0,0,0,4,0,0,0,6,9,3,0,0,0
Vivaldi Browser - Demo,hb1dSzT5EnA,10.72,"Feb 18, 2015",380,318,1.20,11.16,6,28,37,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,1,0,0,0,2,7,5,0,0,0
Rebellin Linux Synergy 2.5 - Demo,T69olVqF-sM,6.88,"Feb 14, 2015",378,332,1.14,16.53,6,24,33,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,2,0,0,0,1,3,2,0,0,0
Das Web-Cockpit aus Fedora 21 installieren,m56xN_cSjgc,4.92,"Feb 24, 2015",376,220,1.71,34.74,6,19,44,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,3,0,0,0,3,6,3,0,0,0
Python-Programmierung - Module,Buv7N2awEDc,5.35,"Dec 11, 2011",372,145,2.56,47.92,6,12,38,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Raspberry Pi - Coder starten (HTML, CSS, Javascript ganz einfach lernen)",uGbVr6O08cw,8.15,"Oct 15, 2013",369,177,2.09,25.61,6,17,89,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0
Python-Programmierung - subprocess,n2YkGue9y3M,4.65,"Nov 10, 2013",366,265,1.38,29.69,6,6,16,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0
Linux - linux-dash (Web-Dashboard für Linux-Systeme),3gb3z-a7XfA,3.77,"Mar 06, 2014",364,293,1.24,32.99,6,1,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AngularJS - Listen,QvQuB0PfrBA,7.02,"Feb 20, 2015",362,122,2.97,42.33,6,17,31,4,10,40.00,5,116,4.31,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,0,0,0,3,4,1,0,0,0
AngularJS - Hallo Welt - Teil 2,oUZuyXYcoLQ,5.72,"May 25, 2014",360,136,2.65,46.34,6,6,21,3,6,50.00,5,126,3.97,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,210,0.00,17,210,8.10,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gnome3 - Fenster minimieren, Fenster maximieren, Fenstermenü aktivieren",XzwPDKIFeWI,2.43,"Apr 25, 2011",358,314,1.14,46.88,6,2,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
popcorn.js - timeline, -zcLRW53h-w,4.00,"Apr 09, 2012",357,370,0.96,24.09,6,2,8,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Python-Programmierung - Slicing,PNdWWC1UECs,3.33,"Jul 16, 2011",339,169,2.01,60.19,6,19,41,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - Alles ist eine Klasse,j8WsDBS32SY,6.13,"Apr 24, 2012",337,143,2.36,38.44,6,12,41,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - Substitution von Zeichenketten,VdzzzIQpX9o,4.67,"Aug 06, 2011",328,131,2.50,53.67,5,18,34,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Debian - dpkg - Pakete installieren (Paketverwaltung .deb),hi5JgrQlCWw,3.68,"Dec 12, 2013",324,207,1.57,42.54,5,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,2,187,1.07,24,187,12.83,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux - PDF-Dokumente schreiben mit Pandoc und Markdown - PDF erzeugen,OwJNJTvTMOc,5.88,"Nov 02, 2013",322,146,2.21,37.53,5,2,6,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux - Kostenloser Linux-Desktop in der Cloud: LabxNow,dZKfFs3qoR4,5.50,"Sep 26, 2015",321,168,1.91,34.74,5,37,101,1,1,100.00,1,26,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,5,106,4.72,106,7,9,2,0,0,0,1,0,1,1,0,5,6,1,0,0,0
CouchDB - Installation,fJpN4v3ip9Y,3.63,"Apr 04, 2012",319,331,0.96,26.53,5,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD-Karte des Raspberry Pi mit partclone sichern,GjUgVRRv8EI,8.72,"Mar 01, 2014",319,101,3.15,36.18,5,10,47,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,81,0.00,1,81,1.23,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LibreOffice - Ihr erstes Makro,URIBxtc9PNk,5.08,"Feb 20, 2014",311,135,2.30,45.28,5,4,21,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gnome3 - Looking Glass,vnG2FQ4TmuQ,5.03,"Mar 20, 2012",310,298,1.04,20.65,5,2,4,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SliTaz GNU/Linux Cooking 20140216 - Demo,tJAbJnPSW_4,5.05,"Feb 25, 2014",308,231,1.34,26.44,5,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Debian 8 ""Jessie"" steht zur Verfügung",yTHx78mQ9us,5.15,"Apr 27, 2015",305,177,1.73,33.50,5,47,97,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,1,1,0,0,2,0,0,0,3,8,5,1,1,0
Gnome 3.6 - ENTF-Taste aktivieren (zum Löschen von Dateien),5BiiOX7vOSg,2.47,"Jan 30, 2013",302,234,1.29,52.30,5,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - weitere Listen-Methoden,Ou9EgFglk5k,3.12,"Jul 08, 2011",301,180,1.67,53.63,5,26,43,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0
Python-Programmierung - Reguläre Ausdrücke - Zeichenkunde,WR8rc4Y65Bc,9.63,"Feb 16, 2013",300,95,3.16,32.83,5,3,1,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
lighttpd - PHP - CGI,FkV-GNt8f5I,6.15,"Oct 18, 2012",289,184,1.57,25.58,5,3,12,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AV Linux 6.0.2 - Demo,iNjChme_3s0,7.82,"Jan 06, 2014",287,186,1.54,19.72,5,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTML und CSS - Webseite veröffentlichen (Hosting),rnRCYP5dFrY,6.85,"Aug 03, 2015",285,99,2.88,42.06,5,15,39,1,1,100.00,0,85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,3,2,0,4,4,0,2,0,0,0,3,4,1,0,0,0
Linux - Spurenarm Surfen - JonDoFox,22_0jyj_K-o,5.72,"Apr 11, 2014",284,168,1.69,29.60,5,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
Fedora 17 Beta - Demo,krdutZKGX-w,4.88,"Apr 17, 2012",284,270,1.05,21.52,5,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python - Programmierung - Listen durch Slices verändern,ssSK5ubaqWo,3.72,"Jul 23, 2011",283,128,2.21,59.52,5,15,41,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,1,0.00,0,0,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux - PDF-Dokumente schreiben mit Pandoc und Markdown - pandoc installieren,fOiCsUNZxuU,9.38,"Nov 01, 2013",282,125,2.26,24.07,5,1,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - Modul random - Zufallszahlen generieren,bkgJMBuHLkA,5.08,"Oct 26, 2013",281,196,1.43,28.23,5,7,19,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tails 0.22 - Demo (The Amnesic Incognito Live System),3NnT3cuJEK4,6.12,"Dec 22, 2013",281,209,1.34,21.99,5,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LibreOffice - Calc - Zellen mit Auto-Ausfüllen füllen,Qq0EuYnZRSw,6.10,"Apr 26, 2014",280,126,2.22,36.44,5,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
