Video,Video ID,Video length (minutes),Video created,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Opensuse Leap 42.1 RC1 - Demo,MOE6ATvnltU,7.53,"Oct 18, 2015",1893,1715,1.10,14.65,32,42,55,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,1,3,0,0,0,0.00,0,0,0.00,0,2,3,1,0,0,0,1,0,0,0,0,3,5,2,0,0,0
Python-Programmierung - For-Schleife,UMFFpg1hGV8,3.38,"Mar 20, 2011",1809,1247,1.45,42.87,30,31,56,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,1,0,0,0,0,2,4,2,8,8,0
Fedora 23 Alpha (Workstation) - Demo,drmZqz3xtyQ,5.12,"Aug 13, 2015",1562,1614,0.97,18.91,26,31,46,3,13,23.08,13,1121,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,3,3,0,3,3,0,1,0,0,0,0,4,6,2,1,1,0
Ubuntu 12.04 LTS - Demo,pCK8HCyQw8w,4.42,"Apr 26, 2012",1321,994,1.33,30.08,22,4,9,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Fedora 22 Beta Workstation - Demo,H-vRMrdTYb0,6.52,"Apr 23, 2015",1259,1026,1.23,18.82,21,21,33,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,2,2,0,0,1,0,0,0,5,11,6,1,1,0
stegdetect (Steganografieerkennung),ca89Mduz2jo,2.10,"Jul 30, 2013",1246,1634,0.76,36.32,21,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
Python-Programmierung - Zeichenketten,VnmuveKvn0U,5.20,"Sep 04, 2013",1225,510,2.40,46.18,20,31,88,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Python-Programmierung - if-Anweisung,nOU2ccm5ISA,7.45,"Apr 17, 2011",1223,365,3.35,44.98,20,22,96,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0
"LibreOffice Calc - Datensätze säubern, vereinheitlichen und automatisch ausfüllen",fiXQhycZ-Jk,5.12,"Jun 26, 2013",1219,605,2.01,39.37,20,1,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,1,3,2,1,1,0
Gnome3 - gnome-tweak-tool,JvL7grYgm7Q,2.20,"Apr 26, 2011",1135,1380,0.82,37.37,19,5,3,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,0,0,0,2,2,0,0,0,0,0,0,-1,3,4,0,0,0
