Date,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Unique cookies (web only),Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Videos published,Videos added,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
"Jan 19, 2015",512,273,1.87,38.47,189,9,1,0,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,17,0.00,2,17,11.76,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"Jan 20, 2015",454,295,1.54,32.35,197,8,5,8,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,25,0.00,4,25,16.00,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0
"Jan 21, 2015",634,381,1.66,36.26,214,11,39,94,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,29,0.00,6,30,20.00,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,2
"Jan 22, 2015",594,332,1.79,37.43,176,10,47,130,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,28,0.00,7,29,24.14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,0
"Jan 23, 2015",406,310,1.31,27.57,170,7,3,1,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,15,0.00,4,15,26.67,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jan 24, 2015",438,278,1.57,32.13,175,7,0,0,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,16,0.00,0,16,0.00,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
"Jan 25, 2015",629,356,1.77,37.83,193,10,5,9,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,1,28,3.57,3,28,10.71,28,0,0,2,2,0,1,1,0,0,0,0,0,0,1,2,1,0,2,2
"Jan 26, 2015",728,377,1.93,41.10,197,12,17,31,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,8,0.00,1,8,12.50,8,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,1,0
"Jan 27, 2015",641,440,1.46,32.23,275,11,27,33,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,8,0.00,1,8,12.50,8,1,1,0,0,0,0,0,0,0,3,0,0,0,-1,5,6,0,0,0
"Jan 28, 2015",1045,494,2.11,44.98,279,17,106,463,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,1,12,8.33,1,12,8.33,12,1,1,3,3,0,1,1,0,0,5,0,0,0,5,5,0,0,1,1
