traffic_source,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
Ex­tern,50326,36920,1.4,30.75,86,103,1,839
YouTube-Su­che,43039,30300,1.4,30.41,83,96,1,717
Vi­deo­vor­schlä­ge,23716,13475,1.8,34.88,14,8,0,395
Play­lists,5064,2409,2.1,50.42,2,2,0,84
Di­rekt oder un­be­kannt,4155,3143,1.3,29.49,1,3,0,69
Funk­tio­nen zur Aus­wahl von In­hal­ten,2402,1200,2.0,40.75,0,0,0,40
Ka­nal­sei­ten,1710,1270,1.3,31.61,2,4,0,29
Play­list-Sei­te,1280,720,1.8,38.45,0,1,0,21
Wei­te­re YouTube-Funk­tio­nen,801,343,2.3,48.26,3,4,0,13
In­fo­kar­ten und An­mer­kun­gen in Vi­deo,278,130,2.1,46.20,0,0,0,5
Be­nach­rich­ti­gun­gen,156,101,1.5,32.63,0,0,0,3
Ab­spann-Funk­ti­on,18,10,1.8,34.52,0,0,0,0
