device_type,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,watch_time_hours
Com­pu­ter,107847,74272,1.5,31.64,7,66,10.61,39,7121,0.55,180,3,1.67,108,145,2,90,3748,2.40,328,3835,8.55,3835,129,154,25,56,65,9,110,1797
Han­dy,15300,10866,1.4,29.95,9,162,5.56,89,1278,6.96,52,6,11.54,58,57,1,0,0,0.00,0,0,0.00,0,87,101,14,11,15,4,61,255
Ta­blet,7253,3834,1.9,40.84,5,18,27.78,10,452,2.21,26,1,3.85,9,9,0,0,52,0.00,0,54,0.00,54,8,10,2,4,4,0,12,121
TV,2057,782,2.6,55.37,0,0,0.00,0,0,0.00,0,0,0.00,16,9,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,34
Un­be­kannt,316,175,1.8,37.90,0,0,0.00,0,1,0.00,0,0,0.00,1,1,0,0,4,0.00,0,4,0.00,4,11,11,0,0,0,0,1,5
Spie­le­kon­so­le,172,92,1.9,36.02,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,3
