video_title,video_id,video_length_minutes,video_created,comments,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_minutes,views,average_view_duration,average_percentage_viewed,watch_time_hours
Manjaro Linux 0.8.8 Openbox - Demo,WYhyqtvlB9k,5.78,"Nov 27, 2013",1,0,0,0.00,0,0,0.00,0,0,0.00,1,2,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,86,0.8,13.00,1
DEFT Linux 8 (Digital Evidence & Forensic Toolkit) - Demo,XzRACOBnMas,5.78,"Jul 28, 2013",1,0,0,0.00,0,0,0.00,0,0,0.00,27,16,0,0,0,0.00,0,0,0.00,0,4,4,0,4,7,3,8,0,0,0,0,0,0,4749,3306,1.4,24.84,79
LibreOffice - Calc - Fixieren von Spalten und Zeilen,czJ6EpZRFGU,4.63,"Apr 08, 2014",1,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,-1,0,1,1,1,0,0,2,2,0,0,0,0,642,368,1.7,37.64,11
Linux - Peek erstellt auf einfache Art Screencasts als animiertes GIF-Bild,dwi-6VX83eQ,6.20,"Feb 28, 2017",1,0,1,0.00,1,36,2.78,19,1,5.26,0,0,0,0,0,0.00,0,0,0.00,0,4,4,0,0,0,0,0,4,7,3,0,0,0,196,84,2.3,37.58,3
LibreOffice - Writer - Ändern von Seitenrändern,er12qLLm3OE,3.63,"Feb 20, 2013",1,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,12,13,1,1,1,0,8,3,7,4,0,1,1,3605,2342,1.5,42.37,60
nginx - PHP - FastCGI,gppdmWBa0uc,5.08,"Oct 18, 2012",1,0,0,0.00,0,0,0.00,0,0,0.00,4,5,0,0,0,0.00,0,0,0.00,0,2,2,0,2,2,0,1,0,1,1,0,0,0,613,439,1.4,27.45,10
glances - Systeminformationen auf einen Blick,izanVm9lLBg,4.15,"Dec 03, 2017",1,0,0,0.00,0,12,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,4,4,0,0,0,0,0,8,13,5,-1,0,1,105,39,2.7,64.75,2
Linux - recordmydesktop - Screencasts erstellen,jfRw8515oGE,5.27,"Dec 14, 2011",1,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,2.6,49.75,0
Ubuntu 12.04 LTS - Demo,pCK8HCyQw8w,4.42,"Apr 26, 2012",1,0,0,0.00,0,0,0.00,0,0,0.00,3,5,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,5,0,0,0,0,0,0,379,330,1.1,26.00,6
SliTaz GNU/Linux Cooking 20140216 - Demo,tJAbJnPSW_4,5.05,"Feb 25, 2014",1,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,72,1.1,21.83,1
,,,,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,54,99,45,0,0,0.0,0.00,0
Linux - numlockx - Ziffernblock mittels Befehl aktivieren/deaktivieren, --UlP2332Rs,2.35,"Feb 18, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,372,1.2,52.98,8
LibreOffice - die Statusleiste, -Bt-KI-nIuY,4.72,"Sep 02, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,126,92,1.4,28.99,2
Screencast 078 - OpenOffice.org - Writer - Nach PDF exportieren, -GAbp2UPMbc,2.60,"Jan 28, 2011",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,2,4,2,0,0,0,5,4,1.2,48.07,0
Gnome - einfache Bildschirmaufnahmen mit EasyScreenCast (Linux), -JFC6J8rg5Q,3.08,"Jun 27, 2015",0,0,0,0.00,0,12,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,41,38,1.1,35.27,1
Linux - uniq - benachbarte identische Zeilen ausblenden, -KUWHG_b-QI,4.53,"Sep 01, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,2,2,0,0,0,0,27,12,2.3,49.78,0
Ubuntu Touch - Systemeinstellungen, -Prov_g1_Ss,6.47,"Mar 22, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1.4,21.75,0
Gnome3 - Notizen-App (bijiben), -bcRiqWjZJA,1.75,"Aug 02, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,1,2,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29,0.9,49.14,0
"LibreOffice Makro - Erweiterungen (Extensions), BundesGit für LibreOffice", -dvPH6Nh0KU,6.40,"Apr 10, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,2,1,2,1,0,0,0,199,83,2.4,37.54,3
Gnome 3.10 - Tweak Tool - Demo, -eXY7vvbGK4,2.68,"Sep 29, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1.7,62.52,0
Youtube-Videos mittels VLC abspielen, -fp0DeGUvhY,2.93,"Dec 26, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,1.8,60.43,0
blockdiag - Installation, -pzq6BX0d0A,4.62,"Feb 15, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,1,1,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,0.7,15.59,0
Suchmaschine DuckDuckGo mit Bildersuche, -uSVv9AfB1E,2.68,"May 08, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,2,1,0,0,0,0,0,0,0,0,0,0,252,198,1.3,47.39,4
Linux - Nautilus - Lesezeichen, -xFu9DjoHp0,2.38,"Aug 30, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,42,1.0,43.66,1
popcorn.js - timeline, -zcLRW53h-w,4.00,"Apr 09, 2012",0,0,0,0.00,0,0,0.00,0,0,0.00,1,2,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,2,0,0,0,0,0,0,237,291,0.8,20.38,4
Taskwarrior - wiederkehrende Aufgaben,01P_ymuqHCA,5.02,"Jun 30, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,40,2.2,44.61,1
redis - Replikation,07DM7XAZ-dc,2.42,"Dec 06, 2012",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1.5,60.85,0
Linux - commandlinefu liefert Beispiele zu Terminalbefehlen,0CgsCO81faE,5.37,"Apr 06, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,4,0.00,0,4,0.00,4,0,0,0,0,0,0,0,1,1,0,0,0,0,27,11,2.5,46.08,0
PHP-Programmierung - Code-Styling,0G7wloOZlMU,1.17,"Apr 28, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0.6,53.01,0
Firefox OS - die Version anzeigen,0GyYmiIB6IA,0.97,"Jan 10, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,30.66,0
Gnome 3.10 - Software - Demo,0HreexQ8Tdk,1.53,"Sep 29, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.6,41.22,0
Screencast glimpse 003 - Ubuntu Studio 7.04 Teil 2 (ohne Audio),0Lf4ptHysHY,9.52,"Feb 01, 2011",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3.8,39.91,0
MakuluLinux 4.0 - Demo,0NNRyrJZyrU,7.30,"Oct 28, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.6,7.71,0
CouchDB - eine Datei an ein Dokument hängen,0Oqdwi_vdBw,5.10,"Sep 25, 2012",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,1.3,25.33,0
Firefox - nur in bestimmten Bereichen suchen,0YfY3HN2YjQ,2.85,"May 26, 2015",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.7,25.34,0
Gnome 3.10 - Uhren (Clocks) - Demo,0aZOGnjR6jw,2.08,"Sep 29, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1.1,50.61,0
Linux - Nautilus - Verknüpfungen,0bk8WfEH3Xs,1.42,"Aug 30, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1.1,80.28,0
Linux - Green Recorder (Screencasting unter Wayland),0mGX410deIA,3.58,"Mar 23, 2017",0,0,1,0.00,1,60,1.67,21,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,5,7,2,-1,0,1,185,118,1.6,43.82,3
Screencast short 027 - Gnome - Minihilfen deaktivieren,0wj5k4Jx_FA,0.80,"Jan 31, 2011",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.4,52.04,0
LibreOffice - Makro ausführen,0zJs10eKgb4,2.22,"Feb 22, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,3,1,2,1,0,0,0,410,335,1.2,55.25,7
Centrych OS 12.04.2 - Demo,0zUGrEFJbHE,7.02,"Nov 12, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,2.4,34.22,0
Javascript - Hallo Welt,1-fAkl_ovT8,3.82,"Jun 24, 2012",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,22,1.0,26.94,0
redis - Transaktionen,12l9jkVRz6g,3.25,"Oct 19, 2012",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,16,2.3,69.99,1
LibreOffice - Calc - von Zelle zu Zelle bewegen,13vuh_BzzQQ,5.02,"Oct 14, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1.6,32.41,0
R - starten und beenden,18PFLVZFKGA,1.82,"Oct 06, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,34,0.00,2,34,5.88,34,1,1,0,0,0,0,0,0,0,0,0,0,0,36,48,0.7,41.14,1
Linux - Hardware-Informationen (Textmodus),1GX6VePQoVk,4.40,"Sep 01, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,1.8,40.43,0
CSS Diner bringt euch CSS-Selektoren mit Praxisbeispielen bei,1Ja04Egqs_Y,3.00,"Mar 26, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,1,2,1,0,0,0,51,44,1.2,38.79,1
Python-Programmierung - Modul platform,1Khosumisyk,2.18,"Mar 19, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,0.9,40.51,0
LibreOffice - Calc - Tabellen umbenennen,1RScPXVq7P4,2.30,"Feb 16, 2014",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,1.1,47.77,0
Xubuntu 13.10 - Demo,1fHuNYHqv-Y,4.28,"Oct 19, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,5,3,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,97,78,1.2,29.06,2
Screencast short 022 - Gnome - Einzelklick einstellen,1k-HtYBlfWQ,0.70,"Jan 31, 2011",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,26.51,0
Firefox OS - die Bildschirmdeaktivierung einstellen (screen timeout),1oWcHkzS5-A,1.13,"Aug 22, 2013",0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0.7,61.55,0
