playback_location,watch_time_minutes,views,average_view_duration,average_percentage_viewed,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,watch_time_hours
YouTube-Wie­der­ga­be­sei­te,129442,90647,1.4,28.33,260,267,4,2157
In ex­ter­ne Web­sites und Apps ein­ge­bet­tet,1865,1227,1.5,26.09,4,5,0,31
YouTube-Ka­nal­sei­te,216,415,0.5,18.04,0,0,0,4
