Video,Video ID,Video length (minutes),Video created,Comments,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Git für Einsteiger - Git-Repository anlegen,wEuGHdkINZo,5.93,"Feb 01, 2015",3,150,384,6,2.56,43.15,25,93,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,7,126,5.56,6,126,4.76,126,3,3,0,0,0,0,0,0,0,0,3,8,5,0,0,0
Das Web-Cockpit aus Fedora 21 installieren,m56xN_cSjgc,4.92,"Feb 24, 2015",3,220,376,6,1.71,34.74,19,44,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,3,6,3,0,0,0
Videoantwort (als Demo) - LibreOffice Calc - eine Doppellinie für unter/über Summen,haVHM9oYYoU,2.52,"Feb 22, 2015",3,30,24,0,0.80,31.76,11,11,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,4,5,1,0,0,0
LibreOffice - Calc - Umrandungen,hsUbfOd87Gs,2.75,"Feb 21, 2015",3,30,35,1,1.15,41.99,8,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,3,4,1,0,0,0
Git für Einsteiger - Branches mergen,ChSt1ozMlVA,3.57,"Aug 29, 2015",2,46,62,1,1.35,37.98,22,24,1,2,50.00,1,42,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,1,1,0,4,4,0,0,0,0
Git für Einsteiger - Was ist Git ?,lVzEQQQGhxI,7.47,"Feb 01, 2015",2,334,922,15,2.76,36.97,65,236,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,9,44,20.45,0,44,0.00,44,10,10,0,0,0,0,1,0,0,0,7,10,3,0,0,0
Notizen für Tomboy aus Firefox heraus erzeugen,PD3eTi1YivI,2.15,"Feb 08, 2015",2,53,64,1,1.20,55.91,18,21,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,4,6,2,0,0,0
Git für Einsteiger - den ersten Commit vorbereiten,ueOST3eeT8A,5.82,"Feb 12, 2015",2,61,177,3,2.90,49.77,22,84,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,7,48,14.58,3,48,6.25,48,2,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0
docker installieren,jcgrUJv7qGc,3.63,"Aug 04, 2015",2,81,132,2,1.63,44.96,35,68,0,0,0.00,0,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,3,1,0,0,0,0,1,1,0,5,8,3,1,1,0
Firefox - nur in bestimmten Bereichen suchen,0YfY3HN2YjQ,2.85,"May 26, 2015",2,42,40,1,0.95,33.48,17,17,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,4,6,2,-1,0,1
OpenIndiana 2015.03 Hipster - Demo,RxNdTurXnYQ,4.28,"Apr 01, 2015",2,542,517,9,0.95,22.25,17,23,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,1,3,2,0,0,0
Komprimieren von CSS und Javascript,ToZXRgXgiNA,3.80,"Feb 07, 2015",2,48,92,2,1.92,50.56,21,46,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,3,6,3,1,1,0
Rebellin Linux Synergy 2.5 - Demo,T69olVqF-sM,6.88,"Feb 14, 2015",2,332,378,6,1.14,16.53,24,33,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,1,3,2,0,0,0
Linux - Anwendungen in anderer Sprache starten,fx35uCpzndc,2.95,"Jan 30, 2015",2,37,59,1,1.59,53.97,20,34,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,4,9,5,0,0,0
LibreOffice - Calc - Daten ändern,6yd8TQdDYSo,3.90,"Feb 03, 2015",2,39,65,1,1.68,42.96,12,30,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,3,4,1,0,0,0
Python-Programmierung - pygments - Syntax-Highlighting,D7GtJ6JDNJU,9.08,"Apr 23, 2014",2,341,525,9,1.54,16.94,6,10,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,3,5,2,0,0,0
