Playback location type,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Watch time (hours),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours)
WATCH,475406,373638,1.59,31.64,7923,21,31,0
EMBEDDED,10289,8467,1.43,29.30,171,0,0,0
MOBILE,6369,6356,1.77,37.75,106,0,0,0
CHANNEL,1180,2963,0.60,17.67,20,0,0,0
YT_OTHER,647,656,0.99,21.88,11,0,0,0
EXTERNAL_APP,9,6,1.52,28.11,0,0,0,0
