viewer_gender,watch_time_minutes,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,views,average_view_duration,average_percentage_viewed,watch_time_hours
Weib­lich,10.6,4.2,4.6,4.2,11.1,1.3,30.09,10.6
Männ­lich,89.4,95.8,95.4,95.8,88.9,1.4,28.95,89.4
