viewer_gender,watch_time_minutes,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,views,average_view_duration,average_percentage_viewed,watch_time_hours
Weib­lich,8.6,0.2,0.5,0.2,8.4,1.3,27.08,8.6
Männ­lich,91.4,99.8,99.5,99.8,91.6,1.3,23.88,91.4
