device_type,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,watch_time_hours
Com­pu­ter,109544,78504,1.4,27.85,19,72,26.39,39,4857,0.80,0,0,0.00,175,199,3,114,5096,2.24,507,5231,9.69,5231,58,61,3,27,30,3,7,1826
Han­dy,12033,8786,1.4,26.09,4,36,11.11,18,529,3.40,0,0,0.00,55,51,1,0,1,0.00,0,2,0.00,2,14,18,4,3,4,1,9,201
Ta­blet,6871,3670,1.9,36.09,1,7,14.29,8,277,2.89,0,0,0.00,11,13,0,1,59,1.69,0,61,0.00,61,11,11,0,2,2,0,1,115
TV,2161,795,2.7,55.53,0,0,0.00,0,0,0.00,0,0,0.00,21,8,0,0,0,0.00,0,0,0.00,0,9,9,0,0,1,1,0,36
Un­be­kannt,673,434,1.6,29.92,0,0,0.00,0,24,0.00,0,0,0.00,0,0,0,0,25,0.00,3,26,11.54,26,150,156,6,38,41,3,32,11
Spie­le­kon­so­le,240,100,2.4,44.68,0,0,0.00,0,0,0.00,0,0,0.00,1,1,0,0,3,0.00,0,3,0.00,3,1,1,0,0,0,0,0,4
