subscription_status,subscribers,subscribers_gained,subscribers_lost,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,watch_time_minutes,views,average_view_duration,average_percentage_viewed,watch_time_hours
Abon­nen­ten,75,127,52,2,9,22.22,4,357,1.12,88,7,7.95,0,0,0,0,29,0.00,2,29,6.90,29,66,67,1,1,1,0,0,33,78,45,3342,1638,2.0,44.10,56
Nut­zer oh­ne Abo,0,0,0,19,237,8.02,134,8495,1.58,170,3,1.76,192,221,3,90,3775,2.38,326,3864,8.44,3864,172,212,40,70,83,13,184,365,555,190,129603,88383,1.5,31.83,2160
