Video,Video ID,Video length (minutes),Video created,Likes,Dislikes,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes added,Likes removed,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Rebellin Linux Synergy 2.5 - Demo,T69olVqF-sM,6.88,"Feb 14, 2015",2,0,332,378,6,1.14,16.53,24,33,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,2,0,0,0,1,3,2,0,0,0
Screencast 071 - OpenOffice.org - Writer - Ein Dokument drucken,ZogRuOMIxtQ,3.98,"Jan 28, 2011",2,0,199,267,4,1.34,33.65,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HTML und CSS - Ein HTML-Dokument erstellen,vA3ATuPb_4s,4.27,"Mar 24, 2015",2,0,51,103,2,2.01,47.19,15,34,0,0,0.00,0,55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,1,0,0,0,2,4,2,0,0,0
LibreOffice - Was ist Makro ?,qQErf8pu3Ms,2.22,"Feb 20, 2014",2,0,193,215,4,1.11,50.28,1,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Processing installieren und starten,OF4nZfgfdiE,4.63,"Sep 20, 2015",2,0,76,138,2,1.82,39.21,34,61,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,1,0,0,0,5,5,0,0,0,0
Linux - Speicherplatzverbrauch für Ordner und Dateien ermitteln,YKCqPYPI8vQ,3.62,"Feb 04, 2015",2,0,44,98,2,2.22,61.33,22,51,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,4,1,1,0,4,6,2,0,0,0
HTML und CSS - Die notwendigen Tools,4zF55X9iK1E,2.13,"Feb 26, 2015",2,0,62,81,1,1.30,60.93,26,35,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,109,0.00,0,109,0.00,109,2,0,0,0,0,1,1,1,0,6,8,2,0,0,0
Linux - Verschlüsselten Container erstellen (luksformat),Sw_KTl9QxB4,3.97,"Mar 01, 2014",2,0,109,174,3,1.59,40.13,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,1,166,0.60,6,166,3.61,166,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0
Git für Einsteiger - Branches anlegen,_g8ItehO7gA,3.13,"Jul 30, 2015",2,0,42,59,1,1.39,44.48,21,33,0,0,0.00,0,39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,1,0,0,0,3,4,1,0,0,0
Sonic Pi - Musik und Programmierung (Raspberry Pi),PzKs31SjVQ0,4.27,"Jun 03, 2015",2,0,164,234,4,1.43,33.40,53,97,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,1,1,1,0,4,10,6,0,0,0
d3 - Einleitung (ein Balkendiagramm erstellen),Z4Vr0wkWEAM,5.90,"Aug 09, 2015",2,0,29,89,1,3.06,51.94,9,37,0,0,0.00,0,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,11,0.00,11,2,0,0,0,0,0,0,0,0,6,10,4,1,1,0
ffmpeg - Text in ein Video zeichnen (Videofilter drawtext),zyHFkgBQf7k,3.88,"Oct 09, 2013",2,0,167,197,3,1.18,30.44,2,6,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Python-Programmierung - subprocess - einfache Ausgaben verarbeiten,zZFg6-zTEYw,3.88,"Nov 17, 2013",2,0,80,112,2,1.40,36.13,6,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,0,1,1,0,2,2,0,0,0,0
Live-DVDs mit Anonymisierungsdiensten,8N1cOrfTRec,2.47,"Sep 18, 2015",2,0,63,72,1,1.15,46.62,23,28,0,0,0.00,0,52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,1,0,0,0,1,0,0,0,9,11,2,0,0,0
Gnome 3.18 - Kalender - Demo,M65T0mrnl1c,1.88,"Sep 25, 2015",2,0,103,75,1,0.73,38.90,19,19,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,3,0,0,0,0,3,4,1,0,0,0
bottle - GET- und POST-Daten Abfragen,AJORT0b7xWY,5.08,"Jun 07, 2012",2,1,1071,974,16,0.91,17.88,21,28,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,2,0,1,0,0,0,0,0,0,2,5,3,2,2,0
OpenIndiana 2015.03 Hipster - Demo,RxNdTurXnYQ,4.28,"Apr 01, 2015",2,0,542,517,9,0.95,22.25,17,23,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,2,0,0,0,1,3,2,0,0,0
LibreOffice - Calc - Zahlen formatieren,GGO-OBE8DXU,3.48,"Feb 11, 2015",2,0,65,78,1,1.21,34.66,7,10,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,4,0,0,0,1,2,1,0,0,0
Git für Einsteiger - den ersten Commit vorbereiten,ueOST3eeT8A,5.82,"Feb 12, 2015",2,0,61,177,3,2.90,49.77,22,84,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,7,48,14.58,3,48,6.25,48,2,0,0,0,0,2,0,0,0,3,3,0,0,0,0
Video-Editor OpenShot - Transparente Bilder über Video legen,68bH8P-OlM4,5.82,"Jan 04, 2014",2,0,590,725,12,1.23,21.13,2,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Python-Programmierung - Module selbst gemacht,vot-qwt6TDM,3.23,"Feb 15, 2012",1,0,139,250,4,1.80,55.67,16,30,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ImageMagick - Bilder mit Text erstellen,Elgy5zfAf9Y,3.40,"Aug 27, 2013",1,0,97,134,2,1.38,40.54,1,3,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mehrere PDF-Dateien verbinden - pdftk und pdfunite,pjWBpoa1p5s,2.37,"Mar 14, 2012",1,0,100,121,2,1.21,50.98,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mit nethogs ermitteln wie viel Bandbreite die einzelnen Prozesse nutzen,oynPlZWgzzc,2.33,"Mar 02, 2015",1,0,62,71,1,1.15,49.29,22,39,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,1,0,0,0,2,3,1,0,0,0
Python-Programmierung - Zeichenketten,VnmuveKvn0U,5.20,"Sep 04, 2013",1,0,510,1225,20,2.40,46.18,31,88,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Linux - Desktop Effects - Tastenkombinationen,r1MQ19FP_zI,4.22,"Dec 13, 2011",1,0,47,84,1,1.80,42.58,6,10,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - Funktionen (Teil 3),5AdJx3Coihg,3.18,"Sep 21, 2011",1,0,118,204,3,1.73,54.29,13,18,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AngularJS - Was ist angular.js,7YjKmFQhh4k,5.93,"May 18, 2014",1,2,1011,2930,49,2.90,48.84,20,46,1,1,100.00,1,276,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,2,0,1,0,0,0,0,4,8,4,2,2,0
Ubuntu - Dateien richtig löschen,5pyMI1aR6oU,2.98,"Aug 11, 2011",1,0,425,564,9,1.33,44.45,6,9,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Raspberry Pi - SD-Karte mit gnome-disks sichern,IO25A5YopvE,2.48,"Sep 15, 2015",1,0,41,39,1,0.96,38.74,18,16,0,3,0.00,1,44,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,4,5,1,0,0,0
Gnome 3.18 - gedit - Minikarte (Overview Map) - Demo,jYRbDMyZEo8,1.07,"Sep 25, 2015",1,0,86,49,1,0.57,53.26,11,8,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Javascript - Zahlen,WJvlUMvNiUo,4.55,"Aug 19, 2015",1,0,26,54,1,2.06,45.33,9,16,0,2,0.00,1,26,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0
Linktipp - Lerne X in Y Minuten,912UNZmcRWs,1.78,"Sep 02, 2015",1,0,43,47,1,1.10,61.66,30,30,0,0,0.00,0,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0
Python-Programmierung - Modul random - Zufallszahlen generieren,bkgJMBuHLkA,5.08,"Oct 26, 2013",1,0,196,281,5,1.43,28.23,7,19,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Videoantwort (als Demo) - LibreOffice Calc - eine Doppellinie für unter/über Summen,haVHM9oYYoU,2.52,"Feb 22, 2015",1,0,30,24,0,0.80,31.76,11,11,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,3,0,0,0,4,5,1,0,0,0
Bottle - Ein WSGI-Microframework für Python,7YgdIgEjGBg,10.65,"Jun 04, 2012",1,0,142,483,8,3.40,31.94,16,55,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Debian - dpkg - Pakete deinstallieren (Paketverwaltung .deb),epVWDCqhU9Y,2.40,"Dec 12, 2013",1,0,88,84,1,0.95,39.69,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,2,128,1.56,15,128,11.72,128,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
GNOME 3.12 geht an den Start,goT-nVQtM_k,3.50,"Mar 27, 2014",1,0,15,21,0,1.39,39.82,1,3,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,9,0.00,0,9,0.00,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unity - herkömmliche Scrollleiste aktivieren,_fTRBcVCm4M,1.70,"Jul 03, 2011",1,0,33,35,1,1.07,63.23,6,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubuntu Touch Emulator installieren,RO9MT1yzbSA,6.20,"Mar 10, 2014",1,0,313,437,7,1.39,22.50,4,9,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Präsentationen mit Markdown und remark.js,klnPM15jqg4,3.40,"Mar 25, 2015",1,0,146,220,4,1.51,44.40,21,49,1,2,50.00,2,86,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0
Python-Programmierung - Richtig einrücken,m2UDI5Fy6qw,2.87,"Sep 04, 2013",1,0,280,518,9,1.85,64.58,20,41,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firefox OS 1.3 Simulator installieren,5k7rOEiimuI,3.18,"Mar 15, 2014",1,0,141,214,4,1.52,47.67,5,16,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Easy Game Scripting mit Lua (EGSL) - ein Beispiel,wvpfUnOVug0,8.23,"Dec 08, 2013",1,0,32,61,1,1.89,23.00,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,26,0.00,8,26,30.77,26,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Unity - Menü ins Fenster verlagern,eEcIP536uOM,1.45,"Jul 02, 2011",1,0,38,32,1,0.85,58.70,8,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taskwarrior - Projekte,IhhsfMwp6JM,2.23,"Sep 26, 2012",1,0,30,43,1,1.42,63.57,3,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taskwarrior - Datum und Uhrzeit - Aufgaben verstecken,KRIM6vS731s,2.80,"Feb 19, 2013",1,0,26,35,1,1.35,48.22,2,6,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LibreOffice Calc - Datensätze säubern, vereinheitlichen und automatisch ausfüllen",fiXQhycZ-Jk,5.12,"Jun 26, 2013",1,0,605,1219,20,2.01,39.37,1,5,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,1,3,2,1,1,0
Crontab-Generator hilft beim Erstellen von Cronjobs,3glAwwRhgQk,2.83,"May 21, 2014",1,0,119,160,3,1.35,47.56,1,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Raspberry Pi - pidora installieren,pNB5p138-S8,4.77,"Oct 08, 2013",1,3,540,801,13,1.48,31.11,14,38,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,2,0,0,0,0.00,0,0,0.00,0,1,0,3,0,0,0,0,0,0,1,2,1,3,3,0
Linux - Liquid prompt,gHMQKZGjjiw,7.82,"Oct 12, 2013",1,0,200,278,5,1.39,17.76,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Notizen für Tomboy aus Firefox heraus erzeugen,PD3eTi1YivI,2.15,"Feb 08, 2015",1,0,53,64,1,1.20,55.91,18,21,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,2,0,0,0,4,6,2,0,0,0
R - Zeichenketten,53Q4s6MLCfM,3.87,"Mar 22, 2015",1,0,32,48,1,1.50,38.86,20,28,0,0,0.00,0,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,1,0,0,0,3,5,2,0,0,0
Gnome 3.18 - Builder - Demo,ENjAe0k3Jyg,4.32,"Sep 26, 2015",1,1,294,266,4,0.90,20.96,29,27,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,1,0,0,0,0,0,0,3,3,0,0,0,0
lighttpd - Installation,qbuXVY-Coxo,3.80,"Oct 14, 2012",1,2,705,797,13,1.13,29.73,4,8,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0
Python-Programmierung - Funktionen (Teil 2),gK6s5EFjHm4,4.73,"Sep 13, 2011",1,0,180,387,6,2.15,45.39,22,37,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Raspberry Pi - arkos - Genesis - Terminal und Execute (Kommandos über den Browser eingeben),lCScxEAINn8,5.97,"Nov 14, 2013",1,0,411,612,10,1.49,24.97,14,41,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
HTML und CSS - Webseite veröffentlichen (Hosting),rnRCYP5dFrY,6.85,"Aug 03, 2015",1,0,99,285,5,2.88,42.06,15,39,1,1,100.00,0,85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,2,4,4,0,2,0,0,0,3,4,1,0,0,0
"Gnome3 - Fenster minimieren, Fenster maximieren, Fenstermenü aktivieren",XzwPDKIFeWI,2.43,"Apr 25, 2011",1,0,314,358,6,1.14,46.88,2,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Python-Programmierung - Dictionaries,3qVbbh0_UoQ,5.57,"Aug 12, 2011",1,0,149,462,8,3.10,55.73,18,56,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIMP - Einen Rahmen um einen Bereich in einem Bild ziehen,mYJE59lh7GQ,4.12,"Apr 16, 2014",1,0,282,407,7,1.44,35.05,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,1,4,3,0,0,0
"Suchen und Finden mit Ack, statt grep",wJc1izhskT8,6.25,"Apr 30, 2014",1,0,99,180,3,1.82,29.17,1,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
LibreOffice - Dokument automatisch speichern,2tfzxgQ3EE0,1.80,"Aug 10, 2011",1,0,120,120,2,1.00,55.50,3,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0
Ubuntu Touch - Scopes,MJPoxAnO5KE,2.92,"Mar 12, 2014",1,0,488,451,8,0.92,31.67,1,1,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
Manjaro Linux 0.8.8 Openbox - Demo,WYhyqtvlB9k,5.78,"Nov 27, 2013",1,0,219,204,3,0.93,16.13,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,1,1,0,0,0,-1,0,1,1,1,0
Ubuntu Touch - Friends-App,UcI-l_CbKvg,2.70,"Mar 17, 2014",1,0,23,19,0,0.81,29.82,1,3,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Jugend hackt 2014,gZz3rFfzKIU,1.35,"Jun 02, 2014",1,0,68,50,1,0.73,54.42,8,7,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Geeksphone Revolution - Firefox OS installieren,xbNqD9jUGuw,4.30,"Apr 12, 2014",1,0,145,226,4,1.56,36.31,4,17,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taskwarrior - Datum und Uhrzeit - relative und sprachliche Datumsformate,M2Wn2zjnVtE,4.80,"Feb 12, 2013",1,0,17,53,1,3.14,65.47,2,10,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Screencasting auf dem Linux-Desktop in der Cloud - Demo,aqKMryxUeZs,6.13,"Sep 26, 2015",1,0,116,153,3,1.32,21.47,33,34,0,0,0.00,0,97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Korora 20 (Peach) MATE - Demo,U1DQVLTvLnE,7.03,"Jan 14, 2014",1,0,250,275,5,1.10,15.64,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python-Programmierung - Listen,Z-folPNH6ro,3.78,"Jun 14, 2011",1,0,313,638,11,2.04,53.85,35,82,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
