viewer_age,watch_time_minutes,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,views,average_view_duration,average_percentage_viewed,watch_time_hours
13 - 17 Jah­re,2.4,0.1,1.5,0.1,2.9,1.1,19.99,2.4
18 - 24 Jah­re,18.7,12.7,14.6,12.7,22.8,1.1,19.55,18.7
25 - 34 Jah­re,37.0,32.6,41.7,32.6,38.3,1.2,23.02,37.0
35 - 44 Jah­re,21.5,37.5,27.7,37.5,19.1,1.4,26.77,21.5
45 - 54 Jah­re,12.0,12.2,12.1,12.2,9.8,1.6,29.77,12.0
55 - 64 Jah­re,5.0,3.8,0.5,3.8,4.0,1.6,31.80,5.0
65+ Jah­re,3.4,1.1,1.9,1.1,3.2,1.4,27.90,3.4
