subscription_status,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
Nut­zer oh­ne Abo,129775,91130,1.4,28.28,23,109,21.10,62,5607,1.11,0,0,0.00,263,272,4,112,5148,2.18,507,5281,9.60,5281,174,181,7,68,75,7,48,301,427,126,0,0,0,2163
Abon­nen­ten,1748,1159,1.5,27.76,1,6,16.67,3,80,3.75,0,0,0.00,0,0,0,3,36,8.33,3,42,7.14,42,69,75,6,2,3,1,1,11,35,24,71,153,82,29
